transect,transect_start_lat,transect_start_long,transect_end_lat,transect_end_long,meter,cactus_id,species,distance_meters,x,y,z,primary,secondary,tertiary,quaternary,health_index,lat,long
4,34.78304,-115.66308,34.78217,115.66346,65,36,Cylindropuntia echinocarpa,5.48,0.63,0.69,0.66,1,2,5,4,2,34.78248,-115.66341
4,34.78304,-115.66308,34.78217,115.66346,70,37,Cylindropuntia echinocarpa,7.03,0.54,0.72,0.62,1,2,2,4,4,34.78242,-115.66343
4,34.78304,-115.66308,34.78217,115.66346,75,38,Cylindropuntia echinocarpa,2.65,0.67,0.39,0.34,1,3,4,1,5,34.78239,-115.66366
4,34.78304,-115.66308,34.78217,115.66346,80,39,Cylindropuntia echinocarpa,8.6,0.38,0.51,0.53,1,2,3,3,5,34.78239,-115.66349
4,34.78304,-115.66308,34.78217,115.66346,100,40,Cylindropuntia echinocarpa,11.8,0.42,0.39,0.42,1,2,3,6,5,34.78219,-115.66358
5,34.78162,-115.66364,34.78072,115.66377,0,41,Cylindropuntia echinocarpa,4.5,0.6,0.5,1,1,2,3,4,5,34.7816,-115.66364
5,34.78162,-115.66364,34.78072,115.66377,20,42,Cylindropuntia echinocarpa,9.7,0.5,0.25,0.6,2,4,5,2,3,34.78143,-115.66374
5,34.78162,-115.66364,34.78072,115.66377,50,no cacti,Cylindropuntia echinocarpa,,,,,,,,,,,
5,34.78162,-115.66364,34.78072,115.66377,55,43,Cylindropuntia echinocarpa,6.34,0.1,0.1,0.25,1,2,0,0,5,34.78113,-115.66378
5,34.78162,-115.66364,34.78072,115.66377,60,44,Cylindropuntia echinocarpa,4.48,0.4,0.3,0.6,1,2,2,4,4,34.78107,-115.66376
5,34.78162,-115.66364,34.78072,115.66377,65,45,Cylindropuntia echinocarpa,5.77,0.45,0.55,0.45,1,2,3,8,5,34.78105,-115.66377
5,34.78162,-115.66364,34.78072,115.66377,70,46,Cylindropuntia echinocarpa,7.04,0.9,0.95,0.7,7,3,2,3,4,34.78098,-115.66381
5,34.78162,-115.66364,34.78072,115.66377,85,47,Cylindropuntia echinocarpa,4.51,0.6,0.7,0.8,1,3,3,4,5,34.78082,-115.66376
5,34.78162,-115.66364,34.78072,115.66377,90,48,Cylindropuntia echinocarpa,1.14,0.7,0.55,0.75,1,3,,5,5,34.78082,-115.66376
5,34.78162,-115.66364,34.78072,115.66377,95,49,Cylindropuntia echinocarpa,9.2,0.4,0.4,0.5,1,3,2,4,5,34.78082,-115.66365
5,34.78162,-115.66364,34.78072,115.66377,100,50,Cylindropuntia echinocarpa,8.8,0.2,0.3,0.25,1,2,4,6,5,34.7807,-115.66386
6,34.78161,-115.66383,34.78075,115.664,0,51,Cylindropuntia echinocarpa,2.3,0.7,0.6,0.9,1,2,3,8,3,34.78162,-115.6638
6,34.78161,-115.66383,34.78075,115.664,15,52,Cylindropuntia echinocarpa,4.35,0.5,0.5,0.7,2,3,3,7,5,34.78149,-115.66391
6,34.78161,-115.66383,34.78075,115.664,20,53,Cylindropuntia echinocarpa,3.51,0.6,0.3,0.5,1,3,2,6,2,34.78145,-115.66388
6,34.78161,-115.66383,34.78075,115.664,25,54,Cylindropuntia echinocarpa,0.07,0.2,0.45,0.45,1,2,2,0,4,34.78142,-115.66386
6,34.78161,-115.66383,34.78075,115.664,35,55,Cylindropuntia echinocarpa,0.7,0.8,0.7,0.6,1,4,3,4,5,34.78132,-115.66388
6,34.78161,-115.66383,34.78075,115.664,45,56,Cylindropuntia echinocarpa,6.2,0.5,0.7,0.55,1,2,4,6,5,34.78117,-115.66398
6,34.78161,-115.66383,34.78075,115.664,50,57,Cylindropuntia echinocarpa,7.6,0.2,0.3,0.5,1,2,4,6,5,34.78117,-115.66398
6,34.78161,-115.66383,34.78075,115.664,55,58,Cylindropuntia echinocarpa,6.9,0.2,0.3,0.55,1,2,3,6,3,34.7811,-115.66396
6,34.78161,-115.66383,34.78075,115.664,60,59,Cylindropuntia echinocarpa,2.34,0.5,0.5,0.5,1,3,3,6,5,34.78119,-115.66393
6,34.78161,-115.66383,34.78075,115.664,65,60,Cylindropuntia echinocarpa,3.7,0.7,0.6,0.5,3,3,2,6,2,34.78106,-115.66391
6,34.78161,-115.66383,34.78075,115.664,70,61,Cylindropuntia echinocarpa,4.03,0.2,0.25,0.4,1,1,2,5,5,34.78103,-115.66398
6,34.78161,-115.66383,34.78075,115.664,75,62,Cylindropuntia echinocarpa,4.8,0.15,0.2,0.3,1,3,2,4,4,34.78098,-115.66392
6,34.78161,-115.66383,34.78075,115.664,80,63,Cylindropuntia echinocarpa,1.85,0.2,0.2,0.5,1,2,2,6,2,34.78091,-115.66397
6,34.78161,-115.66383,34.78075,115.664,85,64,Cylindropuntia echinocarpa,1.8,0.3,0.4,0.45,1,2,2,3,4,34.78088,-115.66401
6,34.78161,-115.66383,34.78075,115.664,90,65,Cylindropuntia echinocarpa,2.54,0.4,0.5,0.6,1,2,2,5,4,34.78086,-115.66402
6,34.78161,-115.66383,34.78075,115.664,95,66,Cylindropuntia echinocarpa,4.61,0.3,0.4,0.55,1,2,4,3,4,34.78081,-115.66404
6,34.78161,-115.66383,34.78075,115.664,100,67,Cylindropuntia echinocarpa,4.03,0.3,0.4,0.3,1,3,2,4,5,34.78074,-115.66405
7,34.78166,-115.66402,34.78078,115.66428,15,68,Cylindropuntia echinocarpa,1.9,0.7,0.8,0.7,2,3,2,4,4,34.78154,-115.6641
7,34.78166,-115.66402,34.78078,115.66428,30,69,Cylindropuntia echinocarpa,1.3,0.45,0.7,0.7,1,3,6,4,3,34.78139,-115.66411
7,34.78166,-115.66402,34.78078,115.66428,35,70,Cylindropuntia echinocarpa,8.6,0.5,0.6,0.9,2,3,4,3,4,34.78136,-115.66423
7,34.78166,-115.66402,34.78078,115.66428,40,71,Cylindropuntia echinocarpa,3.25,0.1,0.15,0.2,1,3,2,0,4,34.78129,-115.66416
7,34.78166,-115.66402,34.78078,115.66428,45,72,Cylindropuntia echinocarpa,0.66,0.5,0.5,0.6,1,2,4,5,4,34.78127,-115.66414
7,34.78166,-115.66402,34.78078,115.66428,60,73,Cylindropuntia echinocarpa,5.9,0.6,0.9,1,2,3,3,3,4,34.78111,-115.66413
7,34.78166,-115.66402,34.78078,115.66428,65,74,Cylindropuntia echinocarpa,6.63,0.6,0.6,0.7,1,2,2,7,5,34.78111,-115.66425
7,34.78166,-115.66402,34.78078,115.66428,70,75,Cylindropuntia echinocarpa,7.47,0.6,0.7,0.75,1,2,2,4,4,34.78103,-115.66415
7,34.78166,-115.66402,34.78078,115.66428,75,76,Cylindropuntia echinocarpa,4.21,0.4,0.5,0.6,2,3,2,0,1,34.781,-115.66429
7,34.78166,-115.66402,34.78078,115.66428,80,77,Cylindropuntia echinocarpa,5.45,0.5,0.8,0.8,1,2,4,7,3,34.78092,-115.66423
7,34.78166,-115.66402,34.78078,115.66428,90,78,Cylindropuntia echinocarpa,5.53,0.2,0.2,0.5,1,3,3,1,3,34.78085,-115.66423
7,34.78166,-115.66402,34.78078,115.66428,95,79,Cylindropuntia echinocarpa,4.2,0.2,0.3,0.5,1,2,2,4,4,34.78085,-115.66432
7,34.78166,-115.66402,34.78078,115.66428,100,80,Cylindropuntia echinocarpa,4.5,0.5,0.6,0.6,1,2,3,5,4,34.78082,-115.66434
8,34.7817,-115.66422,34.78083,115.66454,0,81,Cylindropuntia echinocarpa,10,0.4,0.55,0.9,1,3,3,2,5,34.78174,-115.66431
8,34.7817,-115.66422,34.78083,115.66454,15,82,Cylindropuntia echinocarpa,8.2,0.3,0.45,0.4,1,3,3,4,5,34.78157,-115.66436
8,34.7817,-115.66422,34.78083,115.66454,20,83,Cylindropuntia echinocarpa,3.51,0.05,0.1,0.2,1,2,3,5,4,34.78152,-115.66434
8,34.7817,-115.66422,34.78083,115.66454,25,84,Cylindropuntia echinocarpa,3.81,0.15,0.15,0.25,1,3,3,1,5,34.78174,-115.66431
8,34.7817,-115.66422,34.78083,115.66454,30,85,Cylindropuntia echinocarpa,9.1,0.2,0.3,0.4,1,3,3,8,4,34.78141,-115.66441
8,34.7817,-115.66422,34.78083,115.66454,35,86,Cylindropuntia echinocarpa,4.82,0.55,0.6,0.7,2,4,4,3,4,34.78135,-115.66438
8,34.7817,-115.66422,34.78083,115.66454,40,87,Cylindropuntia echinocarpa,3.76,0.05,0.1,0.2,1,4,1,0,5,34.78134,-115.66438
8,34.7817,-115.66422,34.78083,115.66454,45,88,Cylindropuntia echinocarpa,6.71,0.25,0.3,0.3,1,2,3,3,5,34.78126,-115.66444
8,34.7817,-115.66422,34.78083,115.66454,50,89,Cylindropuntia echinocarpa,2.66,0.1,0.15,0.3,1,2,3,0,5,34.78125,-115.66441
8,34.7817,-115.66422,34.78083,115.66454,55,90,Cylindropuntia echinocarpa,9.2,0.3,0.4,0.4,2,7,3,1,4,34.78121,-115.66451
8,34.7817,-115.66422,34.78083,115.66454,60,91,Cylindropuntia echinocarpa,2.17,0.4,0.6,0.4,2,3,4,3,5,34.78116,-115.66441
8,34.7817,-115.66422,34.78083,115.66454,65,92,Cylindropuntia echinocarpa,6.72,0.4,0.6,0.6,2,3,4,7,5,34.78113,-115.66437
8,34.7817,-115.66422,34.78083,115.66454,85,93,Cylindropuntia echinocarpa,3.82,0.25,0.35,0.6,1,2,3,2,5,34.78094,-115.66456
8,34.7817,-115.66422,34.78083,115.66454,100,94,Cylindropuntia echinocarpa,7.2,0.8,1,0.5,3,2,4,6,5,34.78074,-115.66457
9,34.78171,-115.66435,34.78148,115.66444,0,95,Cylindropuntia echinocarpa,1.71,0.3,0.4,0.7,1,7,5,4,5,34.78171,-115.66438
9,34.78171,-115.66435,34.78148,115.66444,5,96,Cylindropuntia echinocarpa,2.54,0.2,0.5,0.4,2,3,2,5,3,34.78166,-115.66438
9,34.78171,-115.66435,34.78148,115.66444,15,97,Cylindropuntia echinocarpa,3.81,0.35,0.4,0.5,1,3,3,3,4,34.78154,-115.66438
9,34.78171,-115.66435,34.78148,115.66444,25,98,Cylindropuntia echinocarpa,0,0.3,0.4,0.5,1,3,3,4,4,34.78148,-115.66444
