"","Hour of Day Ending at LST","Total Solar Rad  ly"," Wind Ave mph"," Wind V Dir Deg"," Wind Max mph","Air Temperature Mean Deg F","Soil Temperature Mean Deg F","Relative Humidity Mean Perent"," Dew Point Deg F"," Wet Bulb Deg F"," Baro Press in Hg"," Total Preip inhes","day","month","year"
"132","9 am","54.0","2.9","173","8.0","92.3","92.3","11","30","58","25.77","0.00",3,"08","19"
"142","10 am","66.0","3.3","178","11.5","92.5","91.9","11","30","58","25.78","0.00",3,"08","19"
"152","11 am","76.5","4.7","165","12.8","93.2","91.7","12","33","59","25.78","0.00",3,"08","19"
"162","12 pm","82.7","4.4","183","12.6","94.1","91.8","12","34","59","25.77","0.00",3,"08","19"
"172","1 pm","77.7","5.3","191","15.9","94.1","92.2","12","34","59","25.76","0.00",3,"08","19"
"182","2 pm","79.1","6.2","234","16.7","95.5","93.0","12","35","60","25.75","0.00",3,"08","19"
"192","3 pm","66.0","6.5","215","18.1","95.0","94.1","12","34","60","25.73","0.00",3,"08","19"
"202","4 pm","51.4","4.6","212","15.5","95.4","95.3","11","34","60","25.72","0.00",3,"08","19"
"212","5 pm","31.7","4.5","236","14.7","95.4","96.5","12","34","60","25.71","0.00",3,"08","19"
"222","6 pm","10.2","3.6","255","9.9","93.0","97.6","13","35","59","25.70","0.00",3,"08","19"
"232","7 pm","0.8","1.3","84","5.3","89.0","98.5","14","34","58","25.71","0.00",3,"08","19"
"242","8 pm","0.0","1.5","353","7.5","84.8","99.0","16","34","56","25.73","0.00",3,"08","19"
"252","9 pm","0.0","4.8","298","14.9","86.9","99.2","14","32","56","25.74","0.00",3,"08","19"
"262","10 pm","0.0","12.0","319","20.5","87.7","99.1","11","25","55","25.74","0.00",3,"08","19"
"272","11 pm","0.0","12.0","313","19.9","86.2","98.8","9","20","53","25.74","0.00",3,"08","19"
"282","12 am","0.0","9.7","305","15.8","85.0","98.3","9","20","53","25.74","0.00",3,"08","19"
"53","1 am","0.0","11.3","309","17.3","84.7","97.8","9","20","53","25.73","0.00",4,"08","19"
"63","2 am","0.0","9.2","290","16.0","83.7","97.2","10","21","52","25.73","0.00",4,"08","19"
"73","3 am","0.0","7.1","279","11.3","81.6","96.6","11","22","52","25.74","0.00",4,"08","19"
"83","4 am","0.0","5.5","273","9.3","81.1","96.1","11","21","51","25.74","0.00",4,"08","19"
"93","5 am","0.0","4.9","274","6.7","78.1","95.5","12","22","50","25.75","0.00",4,"08","19"
"103","6 am","4.0","2.1","272","5.3","78.6","94.9","14","25","51","25.76","0.00",4,"08","19"
"113","7 am","21.6","1.8","247","8.8","88.8","94.2","11","27","56","25.77","0.00",4,"08","19"
"123","8 am","39.7","4.2","112","9.5","89.4","93.5","10","25","55","25.78","0.00",4,"08","19"
"133","9 am","56.1","2.8","132","13.5","91.7","93.0","10","28","57","25.79","0.00",4,"08","19"
"143","10 am","69.0","5.2","127","14.8","91.9","92.6","11","30","57","25.80","0.00",4,"08","19"
"153","11 am","77.6","6.0","166","19.1","92.7","92.4","12","32","58","25.80","0.00",4,"08","19"
"163","12 pm","68.0","4.6","202","14.2","93.1","92.4","13","35","59","25.80","0.00",4,"08","19"
"173","1 pm","71.6","4.6","204","12.7","93.6","92.8","14","37","60","25.79","0.00",4,"08","19"
"183","2 pm","68.0","4.1","214","19.0","94.7","93.6","13","37","60","25.78","0.00",4,"08","19"
"193","3 pm","65.6","5.4","181","20.0","95.7","94.5","13","36","61","25.76","0.00",4,"08","19"
"203","4 pm","50.9","4.3","170","16.5","95.9","95.5","13","36","61","25.74","0.00",4,"08","19"
"213","5 pm","33.8","4.9","95","13.8","95.7","96.6","13","37","61","25.73","0.00",4,"08","19"
"223","6 pm","12.5","2.9","196","8.8","94.3","97.7","14","38","61","25.72","0.00",4,"08","19"
"233","7 pm","0.7","3.0","97","8.6","89.6","98.5","16","38","59","25.72","0.00",4,"08","19"
"243","8 pm","0.0","2.6","111","5.5","87.0","99.0","18","38","58","25.73","0.00",4,"08","19"
"253","9 pm","0.0","7.6","275","15.4","87.6","99.2","14","32","57","25.75","0.00",4,"08","19"
"263","10 pm","0.0","6.9","302","17.3","86.0","99.2","13","30","55","25.76","0.00",4,"08","19"
"273","11 pm","0.0","12.3","314","17.9","85.9","98.8","12","28","55","25.76","0.00",4,"08","19"
"283","12 am","0.0","10.9","311","17.2","85.0","98.4","12","27","54","25.76","0.00",4,"08","19"
"54","1 am","0.0","10.5","307","15.4","84.8","97.9","12","26","54","25.75","0.00",5,"08","19"
"64","2 am","0.0","9.2","308","14.7","84.2","97.3","11","25","53","25.75","0.00",5,"08","19"
"74","3 am","0.0","6.7","301","10.4","82.8","96.7","12","24","53","25.75","0.00",5,"08","19"
"84","4 am","0.0","7.0","276","10.7","81.8","96.1","12","24","52","25.75","0.00",5,"08","19"
"94","5 am","0.1","4.6","268","9.7","81.6","95.5","12","25","52","25.75","0.00",5,"08","19"
"104","6 am","4.5","2.7","277","4.7","78.7","94.9","14","26","52","25.76","0.00",5,"08","19"
"114","7 am","20.0","0.4","248","3.3","88.0","94.2","12","29","56","25.78","0.00",5,"08","19"
"124","8 am","39.1","2.1","215","9.9","92.8","93.5","10","29","58","25.79","0.00",5,"08","19"
"134","9 am","55.9","4.3","209","10.2","93.1","93.0","11","31","58","25.80","0.00",5,"08","19"
"144","10 am","69.8","5.1","224","14.1","94.0","92.6","12","33","59","25.81","0.00",5,"08","19"
"154","11 am","78.9","5.2","230","14.1","95.4","92.4","11","31","59","25.80","0.00",5,"08","19"
"164","12 pm","83.2","5.0","222","19.4","96.3","92.4","10","31","59","25.79","0.00",5,"08","19"
"174","1 pm","81.9","5.2","220","18.0","96.9","92.8","10","31","59","25.78","0.00",5,"08","19"
"184","2 pm","76.6","5.5","221","24.6","98.4","93.6","10","31","60","25.76","0.00",5,"08","19"
"194","3 pm","66.2","6.5","260","17.8","98.4","94.7","9","31","60","25.74","0.00",5,"08","19"
"204","4 pm","49.9","5.6","250","17.4","98.3","96.0","9","29","59","25.73","0.00",5,"08","19"
"214","5 pm","34.6","5.9","274","16.9","98.1","97.2","9","29","59","25.71","0.00",5,"08","19"
"224","6 pm","9.9","3.7","287","12.6","95.4","98.4","9","29","58","25.71","0.00",5,"08","19"
"234","7 pm","1.4","4.4","278","13.2","92.4","99.2","10","28","57","25.72","0.00",5,"08","19"
"244","8 pm","0.0","7.6","306","16.5","91.5","99.8","10","27","57","25.72","0.00",5,"08","19"
"254","9 pm","0.0","5.8","326","23.8","91.3","100.0","10","27","56","25.74","0.00",5,"08","19"
"264","10 pm","0.0","16.2","312","26.3","89.0","99.9","10","26","56","25.74","0.00",5,"08","19"
"274","11 pm","0.0","12.6","324","24.9","87.1","99.7","12","28","55","25.75","0.00",5,"08","19"
"284","12 am","0.0","14.4","318","21.6","86.1","99.3","12","28","55","25.74","0.00",5,"08","19"
"55","1 am","0.0","15.5","316","22.7","85.4","98.8","12","28","55","25.73","0.00",6,"08","19"
"65","2 am","0.0","17.2","317","26.2","85.2","98.2","13","28","54","25.72","0.00",6,"08","19"
"75","3 am","0.0","14.7","320","22.4","85.1","97.7","13","28","55","25.72","0.00",6,"08","19"
"85","4 am","0.0","14.3","313","20.0","85.2","97.1","13","29","55","25.72","0.00",6,"08","19"
"95","5 am","0.0","13.1","317","18.4","85.7","96.5","13","30","55","25.72","0.00",6,"08","19"
"105","6 am","1.2","11.2","315","16.6","85.9","96.0","13","30","55","25.74","0.00",6,"08","19"
"115","7 am","4.3","3.8","257","14.2","85.8","95.5","13","30","55","25.76","0.00",6,"08","19"
"125","8 am","8.4","3.3","67","11.1","85.7","95.0","14","31","56","25.78","0.00",6,"08","19"
"135","9 am","23.3","3.5","284","13.2","87.0","94.6","14","32","56","25.79","0.00",6,"08","19"
"145","10 am","30.5","8.4","274","21.4","88.2","94.2","14","33","57","25.80","0.00",6,"08","19"
"155","11 am","33.2","10.7","272","23.8","86.8","93.9","15","34","57","25.80","0.00",6,"08","19"
"165","12 pm","15.1","14.6","280","25.5","84.4","93.8","21","40","58","25.79","0.00",6,"08","19"
"175","1 pm","20.6","11.6","278","25.1","83.8","93.8","24","43","59","25.79","0.00",6,"08","19"
"185","2 pm","17.4","6.3","277","16.2","84.5","93.8","23","43","59","25.79","0.00",6,"08","19"
"195","3 pm","34.9","2.7","304","10.4","88.1","93.8","19","40","59","25.76","0.00",6,"08","19"
"205","4 pm","41.0","3.0","204","11.0","90.5","93.7","16","39","60","25.74","0.00",6,"08","19"
"215","5 pm","37.0","4.2","222","13.7","91.2","93.8","17","41","60","25.73","0.00",6,"08","19"
"225","6 pm","8.6","3.3","215","13.9","87.9","93.9","19","41","60","25.73","0.00",6,"08","19"
"235","7 pm","1.4","2.3","103","5.3","84.9","94.2","21","41","58","25.74","0.00",6,"08","19"
"245","8 pm","0.0","1.5","270","5.0","82.0","94.5","23","41","57","25.75","0.00",6,"08","19"
"255","9 pm","0.0","1.9","280","3.4","80.6","94.5","25","41","57","25.76","0.00",6,"08","19"
"265","10 pm","0.0","1.7","275","3.9","80.6","94.5","25","42","57","25.76","0.00",6,"08","19"
"275","11 pm","0.0","1.8","250","4.8","79.1","94.2","27","42","57","25.76","0.00",6,"08","19"
"285","12 am","0.0","2.1","272","5.2","78.3","93.8","29","43","57","25.75","0.00",6,"08","19"
"56","1 am","0.0","2.4","291","5.8","78.7","93.4","30","44","58","25.74","0.00",7,"08","19"
"66","2 am","0.0","4.3","289","9.6","79.9","92.9","29","45","58","25.73","0.00",7,"08","19"
"76","3 am","0.0","1.2","58","5.6","78.3","92.5","31","45","58","25.73","0.00",7,"08","19"
"86","4 am","0.0","1.7","2","10.4","77.3","92.0","31","44","57","25.74","0.00",7,"08","19"
"96","5 am","0.0","1.6","75","7.3","78.5","91.5","29","44","57","25.74","0.00",7,"08","19"
"106","6 am","3.2","0.8","81","2.7","77.5","91.0","32","46","58","25.75","0.00",7,"08","19"
"116","7 am","19.6","0.6","4","3.6","83.7","90.3","28","47","61","25.76","0.00",7,"08","19"
"126","8 am","39.1","2.9","128","7.8","85.7","89.8","26","47","61","25.77","0.00",7,"08","19"
"136","9 am","51.4","4.0","150","12.0","87.1","89.4","24","46","61","25.77","0.00",7,"08","19"
"146","10 am","65.4","4.1","139","13.4","88.3","89.1","24","47","62","25.77","0.00",7,"08","19"
"156","11 am","69.8","3.6","170","14.4","89.5","89.0","22","46","62","25.77","0.00",7,"08","19"
"166","12 pm","73.6","5.1","213","14.5","90.3","89.2","22","47","63","25.76","0.00",7,"08","19"
"176","1 pm","35.6","4.8","211","14.3","88.4","89.7","26","49","63","25.74","0.00",7,"08","19"
"186","2 pm","6.2","7.2","225","18.3","85.1","90.6","29","49","62","25.74","0.00",7,"08","19"
"196","3 pm","28.8","5.0","227","19.1","84.1","91.5","34","53","63","25.73","0.00",7,"08","19"
"206","4 pm","28.4","3.7","148","10.5","86.4","92.2","30","51","63","25.72","0.00",7,"08","19"
"216","5 pm","17.7","8.5","116","21.1","83.7","92.8","32","50","62","25.72","0.00",7,"08","19"
"226","6 pm","8.4","11.8","121","22.1","78.6","93.2","40","52","61","25.72","0.00",7,"08","19"
"236","7 pm","1.2","10.4","100","22.8","77.3","93.5","38","50","60","25.72","0.00",7,"08","19"
"246","8 pm","0.0","8.6","86","18.3","77.1","93.7","37","49","59","25.73","0.00",7,"08","19"
"256","9 pm","0.0","9.0","71","18.7","75.2","93.7","41","50","59","25.75","0.00",7,"08","19"
"266","10 pm","0.0","7.3","59","14.3","75.6","93.5","37","47","58","25.75","0.00",7,"08","19"
"276","11 pm","0.0","2.6","56","8.3","74.3","93.2","39","48","58","25.75","0.00",7,"08","19"
"286","12 am","0.0","1.2","279","3.8","72.0","92.8","45","50","58","25.74","0.00",7,"08","19"
"57","1 am","0.0","2.4","278","5.0","73.1","92.3","49","53","60","25.73","0.00",8,"08","19"
"67","2 am","0.0","1.9","238","7.4","74.3","91.8","50","54","61","25.72","0.00",8,"08","19"
"77","3 am","0.0","1.1","242","4.1","70.6","91.3","56","54","60","25.72","0.00",8,"08","19"
"87","4 am","0.0","1.1","283","2.7","69.1","90.8","59","54","59","25.72","0.00",8,"08","19"
"97","5 am","0.1","0.8","290","4.7","68.0","90.3","60","54","59","25.72","0.00",8,"08","19"
"107","6 am","4.7","1.2","140","4.4","72.2","89.7","46","50","58","25.73","0.00",8,"08","19"
"117","7 am","20.9","0.9","83","3.3","81.1","89.0","34","50","61","25.75","0.00",8,"08","19"
"127","8 am","38.8","2.8","127","7.7","82.4","88.5","35","52","62","25.76","0.00",8,"08","19"
"137","9 am","54.9","3.3","146","8.8","84.0","88.1","33","52","63","25.76","0.00",8,"08","19"
"147","10 am","68.0","3.4","171","11.5","85.5","87.7","31","51","63","25.76","0.00",8,"08","19"
"157","11 am","76.8","4.0","175","12.6","86.6","87.6","29","50","63","25.76","0.00",8,"08","19"
"167","12 pm","80.6","5.3","152","15.6","87.3","87.7","27","49","63","25.75","0.00",8,"08","19"
"177","1 pm","79.8","4.5","175","14.8","88.0","88.2","26","48","63","25.74","0.00",8,"08","19"
"187","2 pm","75.8","4.7","210","16.0","89.5","89.2","25","49","63","25.72","0.00",8,"08","19"
"197","3 pm","57.3","5.0","203","18.1","89.6","90.4","24","48","63","25.70","0.00",8,"08","19"
"207","4 pm","43.2","4.8","156","18.1","89.5","91.6","22","46","62","25.68","0.00",8,"08","19"
"217","5 pm","24.4","4.7","203","13.8","89.1","92.9","21","44","61","25.67","0.00",8,"08","19"
"227","6 pm","10.2","3.8","219","16.7","87.9","94.1","21","43","60","25.65","0.00",8,"08","19"
"237","7 pm","0.9","3.2","232","13.9","85.8","94.9","19","39","58","25.66","0.00",8,"08","19"
"247","8 pm","0.0","7.9","276","18.3","84.3","95.5","12","26","54","25.68","0.00",8,"08","19"
"257","9 pm","0.0","7.9","282","14.0","82.2","95.7","15","30","54","25.70","0.00",8,"08","19"
"267","10 pm","0.0","11.7","317","25.2","80.1","95.6","16","30","53","25.71","0.00",8,"08","19"
"277","11 pm","0.0","14.2","313","23.6","78.5","95.3","17","30","53","25.70","0.00",8,"08","19"
"287","12 am","0.0","11.8","319","25.7","78.1","94.9","18","31","53","25.69","0.00",8,"08","19"
"58","1 am","0.0","10.9","323","23.5","77.0","94.4","18","31","52","25.68","0.00",9,"08","19"
"68","2 am","0.0","10.0","316","21.3","76.9","93.8","18","30","52","25.68","0.00",9,"08","19"
"78","3 am","0.0","5.7","277","15.9","77.2","93.2","15","27","51","25.67","0.00",9,"08","19"
"88","4 am","0.0","2.9","263","8.2","74.2","92.7","18","28","50","25.67","0.00",9,"08","19"
"98","5 am","0.0","7.8","307","15.5","74.0","92.0","20","30","51","25.68","0.00",9,"08","19"
"108","6 am","4.2","7.5","302","14.3","74.5","91.4","20","30","51","25.69","0.00",9,"08","19"
"118","7 am","22.7","3.6","305","8.8","79.8","90.7","16","30","53","25.71","0.00",9,"08","19"
"128","8 am","41.2","2.5","147","7.7","82.6","90.1","14","29","54","25.73","0.00",9,"08","19"
"138","9 am","57.6","4.8","184","13.3","83.5","89.6","14","29","54","25.73","0.00",9,"08","19"
"148","10 am","71.6","5.0","120","12.6","84.7","89.2","12","27","54","25.74","0.00",9,"08","19"
"158","11 am","80.9","3.6","169","12.6","86.7","88.9","10","24","54","25.73","0.00",9,"08","19"
"168","12 pm","85.1","5.7","220","17.0","87.0","88.9","9","21","54","25.72","0.00",9,"08","19"
"178","1 pm","83.7","6.4","229","17.0","87.0","89.3","9","22","54","25.72","0.00",9,"08","19"
"188","2 pm","78.1","4.9","174","17.0","87.9","90.1","10","23","54","25.71","0.00",9,"08","19"
"198","3 pm","67.0","7.1","131","20.2","88.5","91.2","9","23","55","25.69","0.00",9,"08","19"
"208","4 pm","52.1","6.1","139","27.1","88.7","92.4","9","23","55","25.68","0.00",9,"08","19"
"218","5 pm","34.8","6.9","130","20.1","88.9","93.7","7","17","54","25.66","0.00",9,"08","19"
"228","6 pm","12.1","4.7","165","17.5","86.9","94.8","8","17","53","25.66","0.00",9,"08","19"
"238","7 pm","0.7","3.2","116","10.2","82.4","95.7","10","19","51","25.66","0.00",9,"08","19"
"248","8 pm","0.0","3.3","252","11.8","80.8","96.2","10","19","51","25.67","0.00",9,"08","19"
"258","9 pm","0.0","1.8","279","6.2","78.3","96.4","11","20","50","25.68","0.00",9,"08","19"
"268","10 pm","0.0","0.9","90","3.5","75.4","96.3","13","22","49","25.69","0.00",9,"08","19"
"278","11 pm","0.0","4.6","305","9.0","74.3","95.8","14","22","49","25.68","0.00",9,"08","19"
"288","12 am","0.0","7.7","290","11.5","73.3","95.3","16","24","49","25.68","0.00",9,"08","19"
"59","1 am","0.0","6.3","277","9.6","72.7","94.6","17","26","49","25.68","0.00",10,"08","19"
"69","2 am","0.0","4.9","268","8.0","72.0","94.0","17","25","49","25.68","0.00",10,"08","19"
"79","3 am","0.0","5.0","283","8.5","72.9","93.2","15","22","48","25.67","0.00",10,"08","19"
"89","4 am","0.0","4.3","285","9.7","72.9","92.5","19","28","50","25.67","0.00",10,"08","19"
"99","5 am","0.0","6.8","280","12.3","73.4","91.8","30","40","54","25.68","0.00",10,"08","19"
"109","6 am","4.1","5.2","280","16.0","74.5","91.0","32","42","55","25.69","0.00",10,"08","19"
"119","7 am","22.3","5.1","274","12.3","78.5","90.2","28","43","57","25.70","0.00",10,"08","19"
"129","8 am","40.6","4.3","223","11.0","80.8","89.6","21","38","56","25.70","0.00",10,"08","19"
"139","9 am","57.5","4.2","201","13.4","81.5","89.0","16","31","54","25.71","0.00",10,"08","19"
"149","10 am","71.7","4.3","153","12.6","82.5","88.7","13","26","53","25.72","0.00",10,"08","19"
"159","11 am","81.1","4.4","187","13.6","83.3","88.4","10","20","52","25.72","0.00",10,"08","19"
"169","12 pm","85.2","5.0","200","17.3","84.4","88.4","8","18","52","25.72","0.00",10,"08","19"
"179","1 pm","83.8","5.6","215","17.4","84.5","88.8","8","17","52","25.71","0.00",10,"08","19"
"189","2 pm","78.2","6.7","224","19.1","85.6","89.6","8","18","52","25.70","0.00",10,"08","19"
"199","3 pm","67.2","6.2","220","17.7","86.3","90.7","8","19","53","25.68","0.00",10,"08","19"
"209","4 pm","51.8","5.1","185","18.8","86.4","91.9","9","21","53","25.67","0.00",10,"08","19"
"219","5 pm","34.1","4.6","194","15.0","86.6","93.1","9","21","53","25.66","0.00",10,"08","19"
"229","6 pm","11.7","4.0","188","11.1","84.9","94.2","9","20","53","25.66","0.00",10,"08","19"
"239","7 pm","0.6","2.3","261","11.0","81.0","95.1","10","18","51","25.66","0.00",10,"08","19"
"249","8 pm","0.0","3.4","275","9.6","76.9","95.6","10","17","49","25.67","0.00",10,"08","19"
"259","9 pm","0.0","4.0","271","17.0","77.8","95.8","11","19","50","25.69","0.00",10,"08","19"
"269","10 pm","0.0","15.2","310","24.4","74.8","95.6","23","35","53","25.69","0.00",10,"08","19"
"279","11 pm","0.0","14.2","311","22.9","72.5","95.2","29","39","53","25.69","0.00",10,"08","19"
"289","12 am","0.0","9.8","312","19.2","72.8","94.7","27","37","53","25.69","0.00",10,"08","19"
"510","1 am","0.0","7.5","263","16.2","71.9","94.1","28","37","52","25.69","0.00",11,"08","19"
"610","2 am","0.0","6.0","269","12.1","71.2","93.5","25","33","51","25.69","0.00",11,"08","19"
"710","3 am","0.0","7.4","276","12.7","69.4","92.8","30","37","51","25.69","0.00",11,"08","19"
"810","4 am","0.0","5.7","271","8.5","69.3","92.1","27","34","50","25.70","0.00",11,"08","19"
"910","5 am","0.0","3.4","270","8.0","69.3","91.5","23","30","49","25.71","0.00",11,"08","19"
"1010","6 am","3.8","2.8","298","5.3","67.2","90.8","27","32","49","25.72","0.00",11,"08","19"
"1110","7 am","22.5","0.8","109","3.9","77.7","90.0","19","32","53","25.74","0.00",11,"08","19"
"1210","8 am","41.0","2.6","189","8.2","79.2","89.3","17","30","53","25.75","0.00",11,"08","19"
"1310","9 am","57.7","4.8","203","10.9","79.1","88.7","19","33","54","25.76","0.00",11,"08","19"
"1410","10 am","71.5","4.4","135","14.9","80.0","88.2","17","32","54","25.77","0.00",11,"08","19"
"1510","11 am","80.6","4.8","189","13.2","81.0","87.9","15","28","53","25.77","0.00",11,"08","19"
"1610","12 pm","84.6","4.5","205","13.6","82.7","87.9","14","28","54","25.76","0.00",11,"08","19"
"1710","1 pm","83.1","5.5","182","14.5","83.5","88.2","13","27","54","25.75","0.00",11,"08","19"
"1810","2 pm","77.7","5.4","198","15.9","84.7","89.0","11","24","53","25.74","0.00",11,"08","19"
"1910","3 pm","66.9","5.1","207","16.7","85.5","90.1","11","24","54","25.73","0.00",11,"08","19"
"2010","4 pm","51.9","3.8","240","12.4","86.2","91.3","11","26","54","25.72","0.00",11,"08","19"
"2110","5 pm","34.0","5.3","251","13.8","85.8","92.5","11","26","54","25.71","0.00",11,"08","19"
"2210","6 pm","11.6","2.7","236","7.2","84.2","93.7","12","26","54","25.71","0.00",11,"08","19"
"2310","7 pm","0.6","0.7","155","3.4","79.2","94.6","14","26","52","25.72","0.00",11,"08","19"
"2410","8 pm","0.0","0.6","263","2.7","75.1","95.1","17","27","50","25.73","0.00",11,"08","19"
"2510","9 pm","0.0","2.5","290","4.0","74.8","95.3","18","28","51","25.74","0.00",11,"08","19"
"2610","10 pm","0.0","3.2","284","4.5","73.2","95.1","21","31","51","25.74","0.00",11,"08","19"
"2710","11 pm","0.0","3.3","278","4.1","70.6","94.8","24","32","50","25.74","0.00",11,"08","19"
"2810","12 am","0.0","3.5","278","4.9","68.2","94.2","26","32","49","25.74","0.00",11,"08","19"
"511","1 am","0.0","3.9","278","7.8","71.5","93.6","22","31","50","25.73","0.00",12,"08","19"
