"","Hour of Day Ending at LST","Total Solar Rad  ly"," Wind Ave mph"," Wind V Dir Deg"," Wind Max mph","Air Temperature Mean Deg F","Soil Temperature Mean Deg F","Relative Humidity Mean Perent"," Dew Point Deg F"," Wet Bulb Deg F"," Baro Press in Hg"," Total Preip inhes","day","month","year"
"111","7 am","5.4","2.8","282","5.3","54.5","57.1","33","26","41","25.59","0.00",2,"04","19"
"121","8 am","17.9","1.0","243","4.8","60.3","56.7","25","24","43","25.60","0.00",2,"04","19"
"131","9 am","33.7","2.1","130","6.9","62.0","56.4","20","20","43","25.60","0.00",2,"04","19"
"141","10 am","56.8","4.1","194","13.6","64.1","56.2","20","22","44","25.61","0.00",2,"04","19"
"151","11 am","72.7","5.2","216","13.5","65.3","56.3","18","21","45","25.60","0.00",2,"04","19"
"161","12 pm","76.7","5.4","244","15.0","66.6","56.6","19","23","46","25.59","0.00",2,"04","19"
"171","1 pm","75.7","4.1","208","14.7","67.5","57.1","19","24","46","25.58","0.00",2,"04","19"
"181","2 pm","65.2","7.6","216","25.4","66.7","58.0","19","24","46","25.56","0.00",2,"04","19"
"191","3 pm","57.4","4.6","204","18.4","68.3","59.1","18","23","47","25.53","0.00",2,"04","19"
"201","4 pm","30.4","7.5","224","21.6","67.1","60.2","19","23","46","25.52","0.00",2,"04","19"
"211","5 pm","25.1","12.1","279","25.1","65.6","61.1","17","20","45","25.51","0.00",2,"04","19"
"221","6 pm","3.3","12.9","271","25.6","61.0","62.0","22","22","43","25.51","0.00",2,"04","19"
"231","7 pm","0.1","11.1","272","24.8","57.9","62.4","28","25","42","25.51","0.00",2,"04","19"
"241","8 pm","0.0","13.5","281","25.4","55.3","62.6","36","29","42","25.53","0.00",2,"04","19"
"251","9 pm","0.0","15.0","280","33.0","53.3","62.5","41","30","42","25.54","0.00",2,"04","19"
"261","10 pm","0.0","10.0","277","23.2","51.6","62.3","44","30","41","25.55","0.00",2,"04","19"
"271","11 pm","0.0","8.5","286","24.6","50.1","61.9","50","32","41","25.56","0.00",2,"04","19"
"281","12 am","0.0","7.7","301","25.1","48.9","61.4","55","34","41","25.55","0.00",2,"04","19"
"52","1 am","0.0","14.7","298","40.1","47.8","61.0","58","34","41","25.54","0.00",3,"04","19"
"62","2 am","0.0","24.0","313","36.8","47.8","60.5","54","32","40","25.54","0.00",3,"04","19"
"72","3 am","0.0","26.3","310","39.3","47.4","60.1","53","31","40","25.54","0.00",3,"04","19"
"82","4 am","0.0","26.2","309","37.9","46.4","59.6","57","32","39","25.54","0.00",3,"04","19"
"92","5 am","0.0","19.6","305","34.0","46.7","59.1","57","32","40","25.57","0.00",3,"04","19"
"102","6 am","0.8","16.5","306","25.7","48.3","58.7","52","31","40","25.59","0.00",3,"04","19"
"112","7 am","16.3","15.3","300","24.4","50.1","58.2","50","32","41","25.62","0.00",3,"04","19"
"122","8 am","32.5","16.1","308","25.2","52.0","57.8","48","33","42","25.64","0.00",3,"04","19"
"132","9 am","49.5","12.2","299","21.9","56.1","57.5","40","32","44","25.66","0.00",3,"04","19"
"142","10 am","62.3","7.5","300","15.7","59.6","57.2","33","30","45","25.68","0.00",3,"04","19"
"152","11 am","67.6","4.8","184","17.8","61.1","57.1","33","32","46","25.69","0.00",3,"04","19"
"162","12 pm","68.9","4.5","209","13.1","61.1","57.4","34","33","46","25.70","0.00",3,"04","19"
"172","1 pm","71.2","4.3","197","11.9","62.9","57.8","31","32","47","25.70","0.00",3,"04","19"
"182","2 pm","61.0","4.1","203","14.0","63.6","58.5","28","30","46","25.69","0.00",3,"04","19"
"192","3 pm","53.8","4.8","240","15.7","64.2","59.4","27","30","47","25.67","0.00",3,"04","19"
"202","4 pm","33.0","4.5","217","14.5","63.5","60.4","26","28","46","25.67","0.00",3,"04","19"
"212","5 pm","21.8","4.5","226","10.5","62.2","61.3","27","28","45","25.67","0.00",3,"04","19"
"222","6 pm","4.3","3.2","223","10.3","60.1","62.1","27","26","44","25.68","0.00",3,"04","19"
"232","7 pm","0.1","1.2","105","4.6","56.9","62.5","30","26","42","25.68","0.00",3,"04","19"
"242","8 pm","0.0","0.3","36","2.0","51.8","62.7","40","28","41","25.70","0.00",3,"04","19"
"252","9 pm","0.0","1.3","279","3.8","51.3","62.6","42","29","41","25.72","0.00",3,"04","19"
"262","10 pm","0.0","1.4","277","3.1","50.4","62.4","44","29","40","25.72","0.00",3,"04","19"
"272","11 pm","0.0","1.8","283","3.8","50.2","62.0","45","30","40","25.72","0.00",3,"04","19"
"282","12 am","0.0","2.0","290","3.8","49.4","61.5","47","30","40","25.72","0.00",3,"04","19"
"53","1 am","0.0","1.5","284","5.6","48.0","61.0","51","31","40","25.72","0.00",4,"04","19"
"63","2 am","0.0","0.6","31","3.9","49.0","60.5","53","33","41","25.71","0.00",4,"04","19"
"73","3 am","0.0","1.0","64","5.8","51.9","59.9","49","33","43","25.70","0.00",4,"04","19"
"83","4 am","0.0","2.5","89","5.8","51.4","59.4","47","32","42","25.69","0.00",4,"04","19"
"93","5 am","0.0","0.6","140","3.4","49.1","59.0","51","32","41","25.70","0.00",4,"04","19"
"103","6 am","0.5","1.9","106","7.8","49.2","58.6","52","33","41","25.70","0.00",4,"04","19"
"113","7 am","4.8","2.4","87","8.7","51.6","58.1","54","35","43","25.71","0.00",4,"04","19"
"123","8 am","19.1","1.7","168","8.8","54.1","57.7","50","36","45","25.71","0.00",4,"04","19"
"133","9 am","34.5","3.7","153","13.7","56.5","57.4","45","35","45","25.72","0.00",4,"04","19"
"143","10 am","44.5","6.0","125","18.7","57.1","57.2","43","35","46","25.73","0.00",4,"04","19"
"153","11 am","69.6","5.3","157","21.9","59.9","57.1","38","34","47","25.72","0.00",4,"04","19"
"163","12 pm","70.7","7.7","122","23.5","60.7","57.3","36","34","47","25.71","0.00",4,"04","19"
"173","1 pm","75.5","6.7","139","19.7","61.9","57.6","32","31","46","25.69","0.00",4,"04","19"
"183","2 pm","69.3","7.1","134","18.4","62.4","58.4","29","30","46","25.67","0.00",4,"04","19"
"193","3 pm","57.9","7.9","143","22.9","62.7","59.3","28","29","46","25.65","0.00",4,"04","19"
"203","4 pm","42.4","10.3","119","24.9","62.7","60.4","28","29","46","25.63","0.00",4,"04","19"
"213","5 pm","20.1","8.2","116","24.8","61.5","61.3","29","29","45","25.62","0.00",4,"04","19"
"223","6 pm","4.6","3.7","94","13.2","59.7","62.1","27","25","43","25.62","0.00",4,"04","19"
"233","7 pm","0.1","2.7","98","9.2","57.2","62.7","21","17","40","25.62","0.00",4,"04","19"
"243","8 pm","0.0","2.0","3","5.7","55.7","62.9","22","18","40","25.62","0.00",4,"04","19"
"253","9 pm","0.0","1.6","306","6.4","54.7","62.9","31","25","41","25.62","0.00",4,"04","19"
"263","10 pm","0.0","7.1","291","12.1","52.9","62.6","43","31","42","25.62","0.00",4,"04","19"
"273","11 pm","0.0","5.2","269","11.5","52.4","62.3","45","32","42","25.61","0.00",4,"04","19"
"283","12 am","0.0","3.3","271","6.9","52.5","61.9","46","32","42","25.60","0.00",4,"04","19"
"54","1 am","0.0","2.7","247","8.7","52.1","61.6","46","32","42","25.60","0.00",5,"04","19"
"64","2 am","0.0","9.2","296","16.2","49.2","61.2","52","32","41","25.59","0.00",5,"04","19"
"74","3 am","0.0","13.3","315","22.4","48.0","60.8","55","33","40","25.58","0.00",5,"04","19"
"84","4 am","0.0","12.4","312","25.7","47.4","60.5","57","33","40","25.58","0.00",5,"04","19"
"94","5 am","0.0","19.2","313","29.0","45.8","60.1","60","33","39","25.58","0.00",5,"04","19"
"104","6 am","1.2","18.5","313","30.0","45.6","59.7","62","33","40","25.59","0.00",5,"04","19"
"114","7 am","13.6","13.0","314","24.1","47.6","59.3","59","34","41","25.60","0.00",5,"04","19"
"124","8 am","28.9","8.9","323","16.7","50.6","58.9","53","34","42","25.61","0.00",5,"04","19"
"134","9 am","46.7","4.6","285","14.2","54.0","58.5","47","34","44","25.62","0.00",5,"04","19"
"144","10 am","62.4","5.4","122","13.8","56.0","58.2","45","35","45","25.63","0.00",5,"04","19"
"154","11 am","72.3","4.3","101","10.9","57.9","58.1","42","35","46","25.64","0.00",5,"04","19"
"164","12 pm","66.8","6.3","47","16.2","57.5","58.3","44","36","46","25.63","0.00",5,"04","19"
"174","1 pm","79.6","5.1","198","15.4","61.0","58.7","36","34","47","25.62","0.00",5,"04","19"
"184","2 pm","68.8","7.3","279","15.4","61.1","59.4","36","34","47","25.61","0.00",5,"04","19"
"194","3 pm","48.8","6.3","252","15.3","61.4","60.3","35","33","47","25.59","0.00",5,"04","19"
"204","4 pm","28.3","7.6","277","21.2","60.4","61.3","36","33","46","25.59","0.00",5,"04","19"
"214","5 pm","12.1","6.0","270","13.7","59.1","62.2","37","33","46","25.60","0.00",5,"04","19"
"224","6 pm","4.3","7.7","282","17.8","57.4","62.9","41","34","45","25.60","0.00",5,"04","19"
"234","7 pm","0.1","12.4","314","20.2","54.6","63.3","45","34","44","25.59","0.00",5,"04","19"
"244","8 pm","0.0","14.3","324","23.5","53.2","63.5","46","33","43","25.60","0.00",5,"04","19"
"254","9 pm","0.0","18.1","308","28.7","50.3","63.4","56","35","43","25.62","0.00",5,"04","19"
"264","10 pm","0.0","17.7","312","31.6","49.2","63.2","58","35","42","25.63","0.00",5,"04","19"
"274","11 pm","0.0","20.7","311","34.9","47.6","62.8","61","35","41","25.63","0.00",5,"04","19"
"284","12 am","0.0","23.0","310","32.9","46.5","62.4","61","34","40","25.63","0.00",5,"04","19"
"55","1 am","0.0","20.0","310","30.2","47.5","62.0","55","32","40","25.61","0.00",6,"04","19"
"65","2 am","0.0","16.5","309","29.2","46.7","61.5","58","33","40","25.60","0.00",6,"04","19"
"75","3 am","0.0","16.1","307","27.0","47.0","61.1","55","32","40","25.61","0.00",6,"04","19"
"85","4 am","0.0","21.4","313","30.1","46.4","60.6","58","32","40","25.62","0.00",6,"04","19"
"95","5 am","0.0","18.9","313","28.1","48.6","60.1","52","32","40","25.63","0.00",6,"04","19"
"105","6 am","0.8","17.7","313","28.2","50.0","59.7","52","33","42","25.64","0.00",6,"04","19"
"115","7 am","16.3","16.7","310","25.9","51.4","59.2","53","35","43","25.66","0.00",6,"04","19"
"125","8 am","34.3","18.1","312","28.2","52.6","58.8","53","36","44","25.69","0.00",6,"04","19"
"135","9 am","51.2","17.7","313","26.4","54.8","58.5","48","36","45","25.71","0.00",6,"04","19"
"145","10 am","64.1","12.8","317","24.1","57.5","58.3","43","35","46","25.72","0.00",6,"04","19"
"155","11 am","73.9","8.7","319","18.6","60.5","58.1","34","32","46","25.73","0.00",6,"04","19"
"165","12 pm","73.9","7.9","339","16.6","62.5","58.4","32","33","47","25.72","0.00",6,"04","19"
"175","1 pm","73.4","9.3","309","21.7","64.6","58.8","20","22","45","25.72","0.00",6,"04","19"
"185","2 pm","70.1","8.2","300","17.4","64.7","59.6","20","23","45","25.71","0.00",6,"04","19"
"195","3 pm","57.9","10.1","307","22.6","64.8","60.5","21","24","45","25.71","0.00",6,"04","19"
"205","4 pm","42.4","11.1","306","26.8","64.4","61.5","21","24","45","25.71","0.00",6,"04","19"
"215","5 pm","23.7","10.4","301","22.9","62.9","62.6","20","21","44","25.72","0.00",6,"04","19"
"225","6 pm","2.9","4.5","268","12.1","60.8","63.4","20","19","42","25.72","0.00",6,"04","19"
"235","7 pm","0.1","3.6","158","10.3","59.6","63.9","21","20","42","25.74","0.00",6,"04","19"
"245","8 pm","0.0","2.8","283","9.1","56.2","64.2","25","21","41","25.76","0.00",6,"04","19"
"255","9 pm","0.0","10.2","316","18.3","59.2","64.1","22","21","42","25.78","0.00",6,"04","19"
"265","10 pm","0.0","13.0","317","20.4","59.2","63.9","24","22","42","25.79","0.00",6,"04","19"
"275","11 pm","0.0","14.1","312","20.2","57.9","63.5","29","26","43","25.81","0.00",6,"04","19"
"285","12 am","0.0","11.3","317","16.7","58.1","63.1","30","27","43","25.82","0.00",6,"04","19"
"56","1 am","0.0","7.8","317","13.2","58.1","62.7","29","26","43","25.82","0.00",7,"04","19"
"66","2 am","0.0","7.9","318","14.0","58.3","62.3","29","26","43","25.83","0.00",7,"04","19"
"76","3 am","0.0","7.4","309","13.2","57.6","62.0","31","27","43","25.83","0.00",7,"04","19"
"86","4 am","0.0","2.9","349","8.3","56.6","61.6","32","27","43","25.83","0.00",7,"04","19"
"96","5 am","0.0","6.0","294","10.3","55.2","61.2","34","27","42","25.83","0.00",7,"04","19"
"106","6 am","1.2","4.8","269","9.9","55.3","60.9","34","27","42","25.86","0.00",7,"04","19"
"116","7 am","16.4","2.3","278","4.7","60.9","60.4","29","29","45","25.87","0.00",7,"04","19"
"126","8 am","34.1","2.3","118","6.4","66.3","60.0","23","27","47","25.89","0.00",7,"04","19"
"136","9 am","52.6","3.2","201","10.9","68.0","59.7","23","29","48","25.90","0.00",7,"04","19"
"146","10 am","65.9","3.4","213","9.3","68.7","59.5","23","29","48","25.90","0.00",7,"04","19"
"156","11 am","69.7","5.0","217","14.1","69.5","59.5","22","29","49","25.90","0.00",7,"04","19"
"166","12 pm","62.1","4.8","217","12.7","70.1","59.7","22","29","49","25.90","0.00",7,"04","19"
"176","1 pm","76.7","4.1","195","11.3","71.4","60.3","21","30","50","25.89","0.00",7,"04","19"
"186","2 pm","71.0","3.7","230","9.5","72.7","61.0","20","29","50","25.87","0.00",7,"04","19"
"196","3 pm","59.8","7.9","292","17.6","73.6","62.0","19","29","50","25.87","0.00",7,"04","19"
"206","4 pm","40.9","9.4","300","18.4","72.1","63.1","19","28","49","25.86","0.00",7,"04","19"
"216","5 pm","18.8","10.2","313","18.9","69.8","64.1","20","27","48","25.85","0.00",7,"04","19"
"226","6 pm","4.5","8.7","305","15.0","68.1","65.1","21","26","47","25.84","0.00",7,"04","19"
"236","7 pm","0.1","8.2","322","16.7","67.3","65.7","21","26","47","25.84","0.00",7,"04","19"
"246","8 pm","0.0","11.2","306","18.6","66.4","66.0","23","27","47","25.86","0.00",7,"04","19"
"256","9 pm","0.0","9.2","295","18.6","65.4","66.1","23","27","46","25.87","0.00",7,"04","19"
"266","10 pm","0.0","9.8","314","16.6","66.0","65.9","22","26","46","25.88","0.00",7,"04","19"
"276","11 pm","0.0","9.2","316","15.3","66.3","65.6","21","26","46","25.88","0.00",7,"04","19"
"286","12 am","0.0","10.4","311","16.6","65.8","65.3","23","27","47","25.88","0.00",7,"04","19"
"57","1 am","0.0","9.0","312","14.6","65.1","65.0","24","27","46","25.87","0.00",8,"04","19"
"67","2 am","0.0","5.8","274","8.8","62.8","64.6","25","26","45","25.86","0.00",8,"04","19"
"77","3 am","0.0","4.5","275","8.0","59.7","64.3","28","27","44","25.85","0.00",8,"04","19"
"87","4 am","0.0","5.6","281","7.4","56.1","63.9","30","25","42","25.85","0.00",8,"04","19"
"97","5 am","0.0","5.8","277","7.3","54.7","63.5","31","25","41","25.85","0.00",8,"04","19"
"107","6 am","1.5","5.4","281","6.7","56.1","63.1","27","22","41","25.85","0.00",8,"04","19"
"117","7 am","18.0","3.7","288","5.8","65.0","62.6","22","24","45","25.87","0.00",8,"04","19"
"127","8 am","35.6","1.6","33","6.4","74.8","62.1","14","22","49","25.88","0.00",8,"04","19"
"137","9 am","52.8","3.6","141","8.3","75.2","61.7","15","24","50","25.88","0.00",8,"04","19"
"147","10 am","60.1","3.2","147","11.1","76.1","61.4","16","26","51","25.89","0.00",8,"04","19"
"157","11 am","59.6","3.8","188","10.2","75.6","61.4","16","26","50","25.88","0.00",8,"04","19"
"167","12 pm","64.7","4.0","200","12.7","76.9","61.6","14","24","50","25.87","0.00",8,"04","19"
"177","1 pm","63.7","3.9","200","11.8","77.4","62.1","11","20","50","25.85","0.00",8,"04","19"
"187","2 pm","69.5","3.5","220","14.5","78.3","62.8","11","20","50","25.84","0.00",8,"04","19"
"197","3 pm","45.2","4.4","239","13.7","77.6","63.8","12","20","50","25.82","0.00",8,"04","19"
"207","4 pm","35.3","5.1","260","13.4","77.5","64.8","11","20","50","25.81","0.00",8,"04","19"
"217","5 pm","26.2","4.5","258","12.0","77.6","65.7","12","22","50","25.79","0.00",8,"04","19"
"227","6 pm","2.7","5.4","278","12.1","73.4","66.6","16","25","49","25.78","0.00",8,"04","19"
"237","7 pm","0.1","5.6","278","10.4","70.1","67.2","21","28","49","25.78","0.00",8,"04","19"
"247","8 pm","0.0","7.9","293","13.1","68.8","67.5","23","30","49","25.79","0.00",8,"04","19"
"257","9 pm","0.0","10.8","292","19.4","68.6","67.6","26","32","49","25.79","0.00",8,"04","19"
"267","10 pm","0.0","18.1","301","33.0","68.2","67.5","26","32","49","25.78","0.00",8,"04","19"
"277","11 pm","0.0","20.1","303","29.2","67.5","67.3","25","30","48","25.76","0.00",8,"04","19"
"287","12 am","0.0","19.7","297","30.2","68.1","67.0","22","28","48","25.75","0.00",8,"04","19"
"58","1 am","0.0","17.7","289","28.9","67.4","66.7","22","27","47","25.74","0.00",9,"04","19"
"68","2 am","0.0","19.5","302","30.8","65.3","66.4","27","30","47","25.72","0.00",9,"04","19"
"78","3 am","0.0","22.4","300","35.0","65.8","66.1","25","29","47","25.69","0.00",9,"04","19"
"88","4 am","0.0","21.9","300","36.6","65.5","65.8","25","29","47","25.68","0.00",9,"04","19"
"98","5 am","0.0","16.5","292","28.1","65.4","65.5","26","30","47","25.68","0.00",9,"04","19"
"108","6 am","1.3","18.8","291","38.6","65.2","65.2","25","28","47","25.66","0.00",9,"04","19"
"118","7 am","14.8","16.8","295","33.2","65.0","65.0","27","30","47","25.67","0.00",9,"04","19"
"128","8 am","37.1","18.0","301","29.9","64.9","64.7","32","34","48","25.67","0.00",9,"04","19"
"138","9 am","53.4","19.7","303","32.9","65.2","64.5","31","34","48","25.66","0.00",9,"04","19"
"148","10 am","67.8","17.3","280","35.0","69.0","64.2","19","25","47","25.66","0.00",9,"04","19"
"158","11 am","76.6","16.0","278","44.7","70.5","64.2","14","20","47","25.65","0.00",9,"04","19"
"168","12 pm","80.0","12.4","276","35.1","70.7","64.4","16","22","47","25.63","0.00",9,"04","19"
"178","1 pm","79.3","16.0","284","33.9","71.2","64.8","18","25","48","25.60","0.00",9,"04","19"
"188","2 pm","51.0","19.0","286","36.3","69.0","65.5","22","29","48","25.58","0.00",9,"04","19"
"198","3 pm","52.0","22.4","299","41.2","65.5","66.3","28","31","48","25.55","0.00",9,"04","19"
"208","4 pm","44.6","27.1","308","42.4","62.2","67.2","29","30","46","25.53","0.00",9,"04","19"
"218","5 pm","23.8","23.5","304","38.9","59.4","67.8","30","28","44","25.53","0.00",9,"04","19"
"228","6 pm","3.7","28.6","298","46.6","54.9","68.4","21","15","39","25.52","0.00",9,"04","19"
"238","7 pm","0.2","30.8","300","48.1","51.1","68.6","26","17","37","25.50","0.00",9,"04","19"
"248","8 pm","0.0","30.1","291","46.6","48.8","68.6","32","20","37","25.50","0.00",9,"04","19"
"258","9 pm","0.0","27.2","281","44.6","48.3","68.3","30","19","36","25.51","0.00",9,"04","19"
"268","10 pm","0.0","28.0","293","50.5","48.6","67.8","29","18","36","25.53","0.00",9,"04","19"
"278","11 pm","0.0","18.6","279","61.1","49.0","67.2","24","14","35","25.55","0.00",9,"04","19"
"288","12 am","0.0","18.1","296","52.4","48.4","66.5","23","12","35","25.56","0.00",9,"04","19"
"59","1 am","0.0","16.6","274","57.1","47.3","65.9","24","13","34","25.58","0.00",10,"04","19"
"69","2 am","0.0","13.5","285","55.0","46.2","65.3","26","13","34","25.59","0.00",10,"04","19"
"79","3 am","0.0","16.5","288","50.4","45.1","64.7","28","14","33","25.60","0.00",10,"04","19"
"89","4 am","0.0","19.1","278","65.4","44.1","64.1","31","15","33","25.60","0.00",10,"04","19"
"99","5 am","0.0","15.2","286","46.3","42.9","63.5","35","17","33","25.62","0.00",10,"04","19"
"109","6 am","2.3","20.3","280","53.4","42.5","63.0","37","18","33","25.64","0.00",10,"04","19"
"119","7 am","18.3","15.9","280","45.0","43.6","62.3","35","18","33","25.66","0.00",10,"04","19"
"129","8 am","36.8","11.9","284","45.5","45.3","61.8","32","17","34","25.67","0.00",10,"04","19"
"139","9 am","53.7","11.6","285","44.2","46.8","61.3","29","16","35","25.69","0.00",10,"04","19"
"149","10 am","67.2","13.2","289","34.0","48.4","60.9","26","15","35","25.70","0.00",10,"04","19"
"159","11 am","76.1","12.5","259","36.0","50.1","60.6","23","13","36","25.71","0.00",10,"04","19"
"169","12 pm","79.7","12.0","301","40.4","51.9","60.6","19","11","36","25.71","0.00",10,"04","19"
"179","1 pm","78.3","9.6","265","39.2","53.6","60.9","17","10","37","25.70","0.00",10,"04","19"
"189","2 pm","72.1","10.0","257","31.6","55.2","61.5","15","9","37","25.70","0.00",10,"04","19"
"199","3 pm","60.5","10.9","282","34.9","56.3","62.3","14","7","38","25.69","0.00",10,"04","19"
"209","4 pm","44.5","8.1","236","25.2","57.3","63.3","13","7","38","25.68","0.00",10,"04","19"
"219","5 pm","24.8","7.6","278","38.5","56.5","64.1","13","6","38","25.67","0.00",10,"04","19"
"229","6 pm","4.8","10.5","243","45.5","55.2","64.9","12","3","37","25.66","0.00",10,"04","19"
"239","7 pm","0.2","10.8","214","31.0","54.5","65.4","12","3","36","25.66","0.00",10,"04","19"
"249","8 pm","0.0","9.8","253","31.0","54.0","65.6","12","2","36","25.68","0.00",10,"04","19"
"259","9 pm","0.0","10.3","252","35.5","53.2","65.6","13","3","36","25.70","0.00",10,"04","19"
"269","10 pm","0.0","8.6","197","33.8","52.3","65.3","15","7","36","25.71","0.00",10,"04","19"
"279","11 pm","0.0","11.7","258","39.6","51.9","64.9","17","9","36","25.72","0.00",10,"04","19"
"289","12 am","0.0","13.3","266","29.2","50.9","64.5","18","9","35","25.72","0.00",10,"04","19"
"510","1 am","0.0","10.7","271","31.0","50.1","64.0","19","10","35","25.71","0.00",11,"04","19"
"610","2 am","0.0","12.4","278","34.6","49.5","63.5","20","10","35","25.69","0.00",11,"04","19"
"710","3 am","0.0","10.5","284","36.2","49.3","63.0","20","10","35","25.69","0.00",11,"04","19"
"810","4 am","0.0","11.4","288","35.5","48.5","62.5","22","12","35","25.69","0.00",11,"04","19"
"910","5 am","0.0","9.4","277","35.7","48.1","62.1","25","14","35","25.69","0.00",11,"04","19"
"1010","6 am","2.4","8.1","230","25.1","47.8","61.6","27","15","35","25.70","0.00",11,"04","19"
"1110","7 am","18.0","8.0","233","28.4","49.8","61.1","25","16","36","25.71","0.00",11,"04","19"
"1210","8 am","36.2","8.5","245","35.5","50.8","60.7","25","16","37","25.72","0.00",11,"04","19"
"1310","9 am","52.9","8.1","246","26.4","52.1","60.3","25","17","38","25.72","0.00",11,"04","19"
"1410","10 am","40.3","9.9","290","29.3","52.8","60.0","24","17","38","25.71","0.00",11,"04","19"
"1510","11 am","41.7","10.4","304","30.0","53.2","59.9","24","17","38","25.69","0.00",11,"04","19"
"1610","12 pm","48.0","9.0","293","23.0","54.7","59.9","23","18","39","25.67","0.00",11,"04","19"
"1710","1 pm","62.2","7.9","304","22.3","56.9","60.1","21","17","40","25.64","0.00",11,"04","19"
"1810","2 pm","45.1","7.2","309","17.8","57.8","60.4","19","16","40","25.61","0.00",11,"04","19"
"1910","3 pm","27.8","5.7","299","21.6","56.9","60.9","20","17","40","25.59","0.00",11,"04","19"
"2010","4 pm","15.4","7.5","290","18.0","56.5","61.5","21","17","40","25.56","0.00",11,"04","19"
"2110","5 pm","13.2","7.0","304","15.2","56.1","62.1","21","16","39","25.53","0.00",11,"04","19"
"2210","6 pm","4.4","7.3","301","18.3","54.6","62.5","24","18","39","25.51","0.00",11,"04","19"
"2310","7 pm","0.2","12.1","293","24.1","52.1","62.7","31","23","39","25.49","0.00",11,"04","19"
"2410","8 pm","0.0","16.1","304","25.7","49.6","62.8","39","26","39","25.48","0.00",11,"04","19"
"2510","9 pm","0.0","14.7","315","27.6","48.7","62.8","41","26","38","25.49","0.00",11,"04","19"
"2610","10 pm","0.0","18.4","302","28.3","48.1","62.5","40","25","38","25.47","0.00",11,"04","19"
"2710","11 pm","0.0","16.5","310","28.2","48.1","62.2","37","23","37","25.46","0.00",11,"04","19"
"2810","12 am","0.0","16.6","313","26.7","47.6","61.9","39","24","37","25.45","0.00",11,"04","19"
"511","1 am","0.0","15.4","316","22.5","46.7","61.5","41","24","37","25.44","0.00",12,"04","19"
