id,date,time,lat,lon,treatment,x,y,z,south.quad,west.quad
76,8/23/2019,7:00,34.78268,-115.66283,thirty mimics,250,210,200,2,4
77,8/23/2019,7:00,34.78246,-115.66338,thirty real,265,130,140,7,8
78,8/23/2019,7:00,34.78225,-115.66273,shrub,360,175,160,8,1
79,8/23/2019,7:00,34.78255,-115.66328,open,,,,6,6
80,8/23/2019,7:00,34.78215,-115.66353,pole,5,5,170,8,9
81,8/24/2019,7:00,34.78311,-115.66244,zero,45,20,60,0,0
82,8/24/2019,7:00,34.78286,-115.66309,fifteen mimics,130,120,140,3,6
83,8/24/2019,7:00,34.78281,-115.66247,fifteen real,170,130,140,2,0
84,8/24/2019,7:00,34.78185,-115.6629,thirty mimics,310,300,210,9,4
85,8/24/2019,7:00,34.78265,-115.66335,thirty real,180,120,120,5,10
86,8/24/2019,7:00,34.78402,-115.66016,shrub,210,140,170,1,7
87,8/24/2019,7:00,34.78307,-115.663,open,,,,0,7
88,8/24/2019,7:00,34.78199,-115.6627,pole,5,5,170,7,2
