unique_bird,bird_id,date,season,walk,start_time,end_time,lat,lon,order,family,species,migratory_class,trophic_guild,behavior,broad_behavior,mesohabitat,two.mesohabitat,three.mesohabitat,five.mesohabitat,mesohabitat_height,photo_id,time,distance,transect,transect_start_lat,transect_start_lon,transect_end_lat,transect_end_lon,notes
57flower,57,5/1/2019,spring,2,14:31,16:31,34.7791,-115.6651,Passeriformes,Tyrannidae,Ash.throated Flycatcher,,insectivore,Singing,Territorial or mating behavior,shrub,vegetation,shrub,shrub,na,no photo,15:29,3,2,34.78303,-115.66309,34.77863,-115.66402,no notes
159flower,159,5/2/2019,spring,4,6:25,8:25,34.77882,-115.66496,Passeriformes,Mimidae,Northern Mockingbird,,omnivore,Sparring,Territorial or mating behavior,shrub,vegetation,shrub,shrub,na,no photo,8:20,3,2,34.78303,-115.66309,34.77863,-115.66402,no notes
13flower,13,5/1/2019,spring,1,10:27,12:27,34.78205,-115.66205,Apodiformes,Trochilidae,Unknown Hummingbird,,nectarivore,Foraging,Feeding,cactus canopy,vegetation,cactus,cactus,na,no photo,11:08,3,1,34.78299,-115.66235,34.77833,.115.66293,no notes
158flower,158,5/2/2019,spring,4,6:25,8:25,34.77906,-115.66485,Passeriformes,Mimidae,Northern Mockingbird,,omnivore,Flying between plants,Active movement,shrub,vegetation,shrub,shrub,na,no photo,8:19,3,2,34.78303,-115.66309,34.77863,-115.66402,no notes
15flower,15,5/1/2019,spring,1,10:27,12:27,34.78204,-115.66185,Unknown,Unknown,Unknown,,Unknown,Standing on ground,Inactive,rock,non vegetation,other,land,na,32.39,11:18,3,1,34.78299,-115.66235,34.77833,.115.66293,no notes
349fruit,349,8/24/2019,summer,47,17:00,19:00,34.78083,-115.66483,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Calling,Territorial or mating behavior,shrub,vegetation,shrub,shrub,100,410-414,19:04,1,2,34.78303,-115.66309,34.77856,-115.66449,no notes
17flower,17,5/1/2019,spring,1,10:27,12:27,34.78228,-115.66245,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Singing,Territorial or mating behavior,cactus canopy,vegetation,cactus,cactus,na,no photo,11:27,2,1,34.78299,-115.66235,34.77833,.115.66293,no notes
18flower,18,5/1/2019,spring,1,10:27,12:27,34.78241,-115.66244,Columbiformes,Columbidae,Mourning Dove,,granivore,Calling,Territorial or mating behavior,rock,non vegetation,other,land,na,no photo,11:28,3,1,34.78299,-115.66235,34.77833,.115.66293,no notes
19flower,19,5/1/2019,spring,1,10:27,12:27,,,Passeriformes,Troglodytidae,Canyon Wren,,insectivore,Singing,Territorial or mating behavior,no visual,,,,na,no photo,11:28,3,1,34.78299,-115.66235,34.77833,.115.66293,no notes
20flower,20,5/1/2019,spring,1,10:27,12:27,,,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Singing,Territorial or mating behavior,no visual,,,,na,no photo,11:31,3,1,34.78299,-115.66235,34.77833,.115.66293,no notes
21flower,21,5/1/2019,spring,1,10:27,12:27,34.78164,-115.66261,Columbiformes,Columbidae,Mourning Dove,,granivore,Flying,Active movement,air,non vegetation,other,air,na,no photo,11:34,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
22flower,22,5/1/2019,spring,1,10:27,12:27,,,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Singing,Territorial or mating behavior,no visual,,,,na,no photo,11:34,3,1,34.78299,-115.66235,34.77833,.115.66293,no notes
23flower,23,5/1/2019,spring,1,10:27,12:27,34.78138,-115.256,Passeriformes,Mimidae,Northern Mockingbird,,omnivore,Singing,Territorial or mating behavior,cactus canopy,vegetation,cactus,cactus,na,40.43,11:34,2,1,34.78299,-115.66235,34.77833,.115.66293,no notes
350fruit,350,8/24/2019,summer,47,17:00,19:00,34.78083,-115.66483,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Calling,Territorial or mating behavior,shrub,vegetation,shrub,shrub,100,410-414,19:04,1,2,34.78303,-115.66309,34.77856,-115.66449,no notes
166fruit,166,8/19/2019,summer,36,6:30,8:30,34.77933,-115.66467,Passeriformes,Fringillidae,House Finch,,frugivore,Standing on plant,Inactive,shrub,vegetation,shrub,shrub,75,281-288,8:14,2,1,34.78299,-115.66235,34.77833,.115.66293,no notes
469flower,469,5/5/2019,spring,14,18:05,20:05,34.7801,-115.6646,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Foraging,Feeding,shrub,vegetation,shrub,shrub,na,33.34,18:19,2,2,34.78303,-115.66309,34.77863,-115.66402,no notes
27flower,27,5/1/2019,spring,1,10:27,12:27,34.78145,-115.66306,Unknown,Unknown,Unknown,,Unknown,Standing on ground,Inactive,rock,non vegetation,other,land,na,44.66,11:42,2,1,34.78299,-115.66235,34.77833,.115.66293,no notes
28flower,28,5/1/2019,spring,1,10:27,12:27,,,Passeriformes,Troglodytidae,Canyon Wren,,insectivore,Singing,Territorial or mating behavior,no visual,,,,na,no photo,11:52,3,1,34.78299,-115.66235,34.77833,.115.66293,no notes
29flower,29,5/1/2019,spring,1,10:27,12:27,34.78096,-115.66263,Passeriformes,Mimidae,Northern Mockingbird,,omnivore,Flying,Active movement,cactus canopy,vegetation,cactus,cactus,na,no photo,11:55,2,1,34.78299,-115.66235,34.77833,.115.66293,no notes
30flower,30,5/1/2019,spring,1,10:27,12:27,,,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Singing,Territorial or mating behavior,no visual,,,,na,no photo,11:57,2,1,34.78299,-115.66235,34.77833,.115.66293,no notes
31flower,31,5/1/2019,spring,1,10:27,12:27,,,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Calling,Territorial or mating behavior,no visual,,,,na,no photo,11:59,2,1,34.78299,-115.66235,34.77833,.115.66293,no notes
32flower,32,5/1/2019,spring,1,10:27,12:27,34.77952,-115.66265,Unknown,Unknown,Unknown,,Unknown,Flying between plants,Active movement,cactus understory,vegetation,cactus,cactus,na,67.71,12:05,2,1,34.78299,-115.66235,34.77833,.115.66293,no notes
33flower,33,5/1/2019,spring,1,10:27,12:27,34.77952,-115.66265,Unknown,Unknown,Unknown,,Unknown,Flying between plants,Active movement,cactus understory,vegetation,cactus,cactus,na,67.71,12:05,2,1,34.78299,-115.66235,34.77833,.115.66293,no notes
34flower,34,5/1/2019,spring,1,10:27,12:27,,,Passeriformes,Fringillidae,House Finch,,frugivore,Singing,Territorial or mating behavior,no visual,,,,na,no photo,12:10,3,1,34.78299,-115.66235,34.77833,.115.66293,no notes
163fruit,163,8/19/2019,summer,36,6:30,8:30,34.78078,-115.66457,Passeriformes,Troglodytidae,Cactus Wren,,omnivore,Flying between plants,Active movement,shrub,vegetation,shrub,shrub,100,213-217,7:59,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
165fruit,165,8/19/2019,summer,36,6:30,8:30,34.77942,-115.66454,Passeriformes,Mimidae,Crissal Thrasher,,omnivore,Standing on plant,Inactive,shrub,vegetation,shrub,shrub,100,no photo,8:11,2,1,34.78299,-115.66235,34.77833,.115.66293,no notes
752flower,752,5/8/2019,spring,22,11:55,1:55,34.77941,-115.66437,Passeriformes,Cardinalidae,Black.headed Grosbeak,,omnivore,Singing,Territorial or mating behavior,shrub,vegetation,shrub,shrub,na,no photo,12:10,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
418flower,418,5/4/2019,spring,12,8:15,10:15,34.77879,-115.66437,Passeriformes,Polioptilidae,Blue.gray Gnatcatcher,,insectivore,Singing,Territorial or mating behavior,shrub,vegetation,shrub,shrub,na,no photo,8:24,2,2,34.78303,-115.66309,34.77863,-115.66402,no notes
713flower,713,5/7/2019,spring,20,12:20,14:20,34.77889,-115.66435,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Calling,Territorial or mating behavior,shrub,vegetation,shrub,shrub,na,no photo,13:59,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
40flower,40,5/1/2019,spring,2,14:31,16:31,,,Passeriformes,Polioptilidae,Blue.gray Gnatcatcher,,insectivore,Singing,Territorial or mating behavior,no visual,,,,na,no photo,14:34,3,2,34.78303,-115.66309,34.77863,-115.66402,no notes
714flower,714,5/7/2019,spring,20,12:20,14:20,34.77889,-115.66435,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Flying,Active movement,shrub,vegetation,shrub,shrub,na,no photo,13:59,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
42flower,42,5/1/2019,spring,2,14:31,16:31,,,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Calling,Territorial or mating behavior,no visual,,,,na,no photo,14:36,3,2,34.78303,-115.66309,34.77863,-115.66402,no notes
43flower,43,5/1/2019,spring,2,14:31,16:31,,,Passeriformes,Ptiliogonatidae,Phainopepla,,frugivore,Calling,Territorial or mating behavior,no visual,,,,na,no photo,14:37,2,2,34.78303,-115.66309,34.77863,-115.66402,no notes
44flower,44,5/1/2019,spring,2,14:31,16:31,,,Passeriformes,Troglodytidae,Canyon Wren,,insectivore,Singing,Territorial or mating behavior,no visual,,,,na,no photo,14:43,3,2,34.78303,-115.66309,34.77863,-115.66402,no notes
636flower,636,5/7/2019,spring,18,8:20,10:20,34.78191,-115.66432,Passeriformes,Tyrannidae,Pacific.slope Flycatcher,,insectivore,Standing on plant,Inactive,shrub,vegetation,shrub,shrub,na,189.203,9:21,2,2,34.78303,-115.66309,34.77863,-115.66402,no notes
847flower,847,5/10/2019,spring,26,14:10,16:10,34.77895,-115.66429,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Foraging,Feeding,shrub,vegetation,shrub,shrub,na,164.205,14:17,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
47flower,47,5/1/2019,spring,2,14:31,16:31,,,Passeriformes,Polioptilidae,Blue.gray Gnatcatcher,,insectivore,Singing,Territorial or mating behavior,no visual,,,,na,no photo,14:49,2,2,34.78303,-115.66309,34.77863,-115.66402,no notes
48flower,48,5/1/2019,spring,2,14:31,16:31,,,Passeriformes,Polioptilidae,Blue.gray Gnatcatcher,,insectivore,Singing,Territorial or mating behavior,no visual,,,,na,no photo,14:49,2,2,34.78303,-115.66309,34.77863,-115.66402,no notes
49flower,49,5/1/2019,spring,2,14:31,16:31,,,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Singing,Territorial or mating behavior,no visual,,,,na,no photo,14:55,2,2,34.78303,-115.66309,34.77863,-115.66402,no notes
50flower,50,5/1/2019,spring,2,14:31,16:31,34.78115,-115.6631,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Flying between plants,Active movement,cactus canopy,vegetation,cactus,cactus,na,no photo,14:57,2,2,34.78303,-115.66309,34.77863,-115.66402,no notes
848flower,848,5/10/2019,spring,26,14:10,16:10,34.77895,-115.66429,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Foraging,Feeding,shrub,vegetation,shrub,shrub,na,164.205,14:17,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
52flower,52,5/1/2019,spring,2,14:31,16:31,34.7809,-115.66308,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Flying between plants,Active movement,cactus canopy,vegetation,cactus,cactus,na,no photo,14:59,2,2,34.78303,-115.66309,34.77863,-115.66402,no notes
53flower,53,5/1/2019,spring,2,14:31,16:31,,,Passeriformes,Troglodytidae,Canyon Wren,,insectivore,Singing,Territorial or mating behavior,no visual,,,,na,no photo,15:04,3,2,34.78303,-115.66309,34.77863,-115.66402,no notes
536flower,536,5/6/2019,spring,16,8:20,10:20,34.77814,-115.66428,Passeriformes,Polioptilidae,Blue.gray Gnatcatcher,,insectivore,Calling,Territorial or mating behavior,shrub,vegetation,shrub,shrub,na,no photo,8:22,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
235flower,235,5/2/2019,spring,6,10:43,12:43,34.77909,-115.66425,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Flying on plant,Active movement,shrub,vegetation,shrub,shrub,na,no photo,12:05,2,2,34.78303,-115.66309,34.77863,-115.66402,no notes
56flower,56,5/1/2019,spring,2,14:31,16:31,34.7791,-115.6651,Passeriformes,Tyrannidae,Ash.throated Flycatcher,,insectivore,Singing,Territorial or mating behavior,cactus canopy,vegetation,cactus,cactus,na,25.43,15:28,3,2,34.78303,-115.66309,34.77863,-115.66402,no notes
236flower,236,5/2/2019,spring,6,10:43,12:43,34.77909,-115.66425,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Flying on plant,Active movement,shrub,vegetation,shrub,shrub,na,no photo,12:05,2,2,34.78303,-115.66309,34.77863,-115.66402,no notes
58flower,58,5/1/2019,spring,2,14:31,16:31,,,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Calling,Territorial or mating behavior,no visual,,,,na,no photo,15:36,3,2,34.78303,-115.66309,34.77863,-115.66402,no notes
753flower,753,5/8/2019,spring,22,11:55,1:55,34.77994,-115.66423,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Calling,Territorial or mating behavior,shrub,vegetation,shrub,shrub,na,125.126,12:16,2,2,34.78303,-115.66309,34.77863,-115.66402,no notes
754flower,754,5/8/2019,spring,22,11:55,1:55,34.77994,-115.66423,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Calling,Territorial or mating behavior,shrub,vegetation,shrub,shrub,na,125.126,12:16,2,2,34.78303,-115.66309,34.77863,-115.66402,no notes
61flower,61,5/1/2019,spring,2,14:31,16:31,,,Passeriformes,Corvidae,Common Raven,,omnivore,Calling,Territorial or mating behavior,no visual,,,,na,no photo,15:47,3,2,34.78303,-115.66309,34.77863,-115.66402,no notes
307flower,307,5/3/2019,spring,8,6:15,8:15,34.77908,-115.66423,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Calling,Territorial or mating behavior,shrub,vegetation,shrub,shrub,na,no photo,8:14,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
63flower,63,5/1/2019,spring,2,14:31,16:31,,,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Singing,Territorial or mating behavior,no visual,,,,na,no photo,15:55,2,2,34.78303,-115.66309,34.77863,-115.66402,no notes
751flower,751,5/8/2019,spring,22,11:55,1:55,34.77924,-115.66422,Apodiformes,Trochilidae,Unknown Hummingbird,,nectarivore,Flying,Active movement,shrub,vegetation,shrub,shrub,na,no photo,12:10,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
65flower,65,5/1/2019,spring,2,14:31,16:31,,,Passeriformes,Mimidae,Northern Mockingbird,,omnivore,Singing,Territorial or mating behavior,no visual,,,,na,no photo,16:00,2,2,34.78303,-115.66309,34.77863,-115.66402,no notes
66flower,66,5/1/2019,spring,2,14:31,16:31,,,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Calling,Territorial or mating behavior,no visual,,,,na,no photo,16:03,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
162fruit,162,8/19/2019,summer,36,6:30,8:30,34.78094,-115.66417,Passeriformes,Laniidae,Loggerhead Shrike,,carnivore,Flying between plants,Active movement,shrub,vegetation,shrub,shrub,100,210-212,7:58,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
68flower,68,5/1/2019,spring,2,14:31,16:31,,,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Calling,Territorial or mating behavior,no visual,,,,na,no photo,16:04,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
69flower,69,5/1/2019,spring,2,14:31,16:31,34.78182,-115.66302,Passeriformes,Tyrannidae,Ash.throated Flycatcher,,insectivore,Flying,Active movement,rock,non vegetation,other,land,na,44.64,16:07,2,2,34.78303,-115.66309,34.77863,-115.66402,no notes
70flower,70,5/1/2019,spring,2,14:31,16:31,,,Passeriformes,Ptiliogonatidae,Phainopepla,,frugivore,Singing,Territorial or mating behavior,air,non vegetation,other,air,na,no photo,16:11,2,2,34.78303,-115.66309,34.77863,-115.66402,no notes
546flower,546,5/6/2019,spring,16,8:20,10:20,34.7808,-115.6641,Passeriformes,Tyrannidae,Gray Flycatcher,,insectivore,Standing on plant,Inactive,shrub,vegetation,shrub,shrub,na,no photo,8:55,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
162flower,162,5/2/2019,spring,4,6:25,8:25,34.77856,-115.6641,Passeriformes,Polioptilidae,Blue.gray Gnatcatcher,,insectivore,Calling,Territorial or mating behavior,shrub,vegetation,shrub,shrub,na,281.282,8:24,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
163flower,163,5/2/2019,spring,4,6:25,8:25,34.77856,-115.6641,Passeriformes,Polioptilidae,Blue.gray Gnatcatcher,,insectivore,Calling,Territorial or mating behavior,shrub,vegetation,shrub,shrub,na,281.282,8:24,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
164flower,164,5/2/2019,spring,4,6:25,8:25,34.77856,-115.6641,Passeriformes,Polioptilidae,Blue.gray Gnatcatcher,,insectivore,Calling,Territorial or mating behavior,shrub,vegetation,shrub,shrub,na,281.282,8:24,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
165flower,165,5/2/2019,spring,4,6:25,8:25,34.77856,-115.6641,Passeriformes,Polioptilidae,Blue.gray Gnatcatcher,,insectivore,Calling,Territorial or mating behavior,shrub,vegetation,shrub,shrub,na,281.282,8:24,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
76flower,76,5/1/2019,spring,2,14:31,16:31,34.78256,-115.66327,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Standing on ground,Inactive,gravel,non vegetation,other,land,na,no photo,16:22,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
77flower,77,5/1/2019,spring,2,14:31,16:31,34.78258,-115.66326,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Standing on ground,Inactive,gravel,non vegetation,other,land,na,no photo,16:22,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
78flower,78,5/1/2019,spring,3,16:35,18:35,34.78313,-115.66232,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Calling,Territorial or mating behavior,gravel,non vegetation,other,land,na,no photo,16:35,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
79flower,79,5/1/2019,spring,3,16:35,18:35,34.78313,-115.66223,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Calling,Territorial or mating behavior,gravel,non vegetation,other,land,na,no photo,16:35,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
80flower,80,5/1/2019,spring,3,16:35,18:35,34.78313,-115.66227,Passeriformes,Troglodytidae,Rock Wren,,insectivore,Standing on ground,Inactive,rock,non vegetation,other,land,na,121.123,16:44,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
166flower,166,5/2/2019,spring,4,6:25,8:25,34.77856,-115.6641,Passeriformes,Polioptilidae,Blue.gray Gnatcatcher,,insectivore,Calling,Territorial or mating behavior,shrub,vegetation,shrub,shrub,na,281.282,8:24,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
82flower,82,5/1/2019,spring,3,16:35,18:35,,,Passeriformes,Ptiliogonatidae,Phainopepla,,frugivore,Singing,Territorial or mating behavior,no visual,,,,na,no photo,16:53,2,1,34.78299,-115.66235,34.77833,.115.66293,no notes
167flower,167,5/2/2019,spring,4,6:25,8:25,34.77856,-115.6641,Passeriformes,Polioptilidae,Blue.gray Gnatcatcher,,insectivore,Calling,Territorial or mating behavior,shrub,vegetation,shrub,shrub,na,281.282,8:24,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
84flower,84,5/1/2019,spring,3,16:35,18:35,,,Passeriformes,Troglodytidae,Canyon Wren,,insectivore,Singing,Territorial or mating behavior,no visual,,,,na,no photo,16:56,3,1,34.78299,-115.66235,34.77833,.115.66293,no notes
85flower,85,5/1/2019,spring,3,16:35,18:35,34.78229,-115.66205,Passeriformes,Fringillidae,House Finch,,frugivore,Standing on ground,Inactive,rock,non vegetation,other,land,na,140.143,16:59,2,1,34.78299,-115.66235,34.77833,.115.66293,no notes
308flower,308,5/3/2019,spring,8,6:15,8:15,34.77868,-115.66409,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Calling,Territorial or mating behavior,shrub,vegetation,shrub,shrub,na,no photo,8:15,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
87flower,87,5/1/2019,spring,3,16:35,18:35,34.78229,-115.66205,Passeriformes,Troglodytidae,Rock Wren,,insectivore,Standing on ground,Inactive,rock,non vegetation,other,land,na,no photo,17:01,2,1,34.78299,-115.66235,34.77833,.115.66293,no notes
88flower,88,5/1/2019,spring,3,16:35,18:35,,,Passeriformes,Troglodytidae,Canyon Wren,,insectivore,Singing,Territorial or mating behavior,no visual,,,,na,no photo,17:04,3,1,34.78299,-115.66235,34.77833,.115.66293,no notes
89flower,89,5/1/2019,spring,3,16:35,18:35,34.78188,-115.6618,Passeriformes,Ptiliogonatidae,Phainopepla,,frugivore,Standing on ground,Inactive,rock,non vegetation,other,land,na,144.145,17:09,2,1,34.78299,-115.66235,34.77833,.115.66293,no notes
90flower,90,5/1/2019,spring,3,16:35,18:35,34.78188,-115.6618,Passeriformes,Ptiliogonatidae,Phainopepla,,frugivore,Standing on ground,Inactive,rock,non vegetation,other,land,na,no photo,17:09,2,1,34.78299,-115.66235,34.77833,.115.66293,no notes
91flower,91,5/1/2019,spring,3,16:35,18:35,34.78119,-115.66261,Passeriformes,Mimidae,Northern Mockingbird,,omnivore,Singing,Territorial or mating behavior,cactus canopy,vegetation,cactus,cactus,na,no photo,17:11,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
92flower,92,5/1/2019,spring,3,16:35,18:35,34.78119,-115.66261,Passeriformes,Mimidae,Northern Mockingbird,,omnivore,Flying,Active movement,cactus canopy,vegetation,cactus,cactus,na,no photo,17:11,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
93flower,93,5/1/2019,spring,3,16:35,18:35,,,Passeriformes,Hirundinidae,Violet.green Swallow,,insectivore,Flying,Active movement,air,non vegetation,other,air,na,no photo,17:24,3,1,34.78299,-115.66235,34.77833,.115.66293,no notes
94flower,94,5/1/2019,spring,3,16:35,18:35,,,Passeriformes,Hirundinidae,Violet.green Swallow,,insectivore,Flying,Active movement,air,non vegetation,other,air,na,no photo,17:24,3,1,34.78299,-115.66235,34.77833,.115.66293,no notes
95flower,95,5/1/2019,spring,3,16:35,18:35,,,Apodiformes,Trochilidae,Unknown Hummingbird,,nectarivore,Flying,Active movement,air,non vegetation,other,air,na,no photo,17:36,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
96flower,96,5/1/2019,spring,3,16:35,18:35,,,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Singing,Territorial or mating behavior,no visual,,,,na,no photo,17:39,3,1,34.78299,-115.66235,34.77833,.115.66293,no notes
97flower,97,5/1/2019,spring,3,16:35,18:35,,,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Singing,Territorial or mating behavior,no visual,,,,na,no photo,17:39,3,1,34.78299,-115.66235,34.77833,.115.66293,no notes
98flower,98,5/1/2019,spring,3,16:35,18:35,,,Passeriformes,Tyrannidae,Say's Phoebe,,insectivore,Flying,Active movement,air,non vegetation,other,air,na,152.155,17:43,3,1,34.78299,-115.66235,34.77833,.115.66293,no notes
99flower,99,5/1/2019,spring,3,16:35,18:35,,,Passeriformes,Mimidae,Northern Mockingbird,,omnivore,Standing on plant,Inactive,cactus canopy,vegetation,cactus,cactus,na,no photo,17:50,3,1,34.78299,-115.66235,34.77833,.115.66293,no notes
100flower,100,5/1/2019,spring,3,16:35,18:35,,,Passeriformes,Troglodytidae,Canyon Wren,,insectivore,Singing,Territorial or mating behavior,no visual,,,,na,no photo,17:56,3,1,34.78299,-115.66235,34.77833,.115.66293,no notes
309flower,309,5/3/2019,spring,8,6:15,8:15,34.77868,-115.66409,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Calling,Territorial or mating behavior,shrub,vegetation,shrub,shrub,na,no photo,8:15,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
102flower,102,5/1/2019,spring,3,16:35,18:35,34.78146,-115.66301,Passeriformes,Troglodytidae,Rock Wren,,insectivore,Standing on ground,Inactive,rock,non vegetation,other,land,na,157.171,18:14,2,1,34.78299,-115.66235,34.77833,.115.66293,no notes
103flower,103,5/1/2019,spring,3,16:35,18:35,,,Columbiformes,Columbidae,Mourning Dove,,granivore,Singing,Territorial or mating behavior,no visual,,,,na,no photo,18:15,3,1,34.78299,-115.66235,34.77833,.115.66293,no notes
104flower,104,5/1/2019,spring,3,16:35,18:35,,,Passeriformes,Ptiliogonatidae,Phainopepla,,frugivore,Flying,Active movement,rock,non vegetation,other,land,na,no photo,18:17,3,1,34.78299,-115.66235,34.77833,.115.66293,no notes
59flower,59,5/1/2019,spring,2,14:31,16:31,34.77969,-115.66403,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Flying,Active movement,shrub,vegetation,shrub,shrub,na,no photo,15:39,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
