bird_id,date,season,walk,start_time,end_time,lat,lon,order,family,species,trophic_guild,behavior,broad_behavior,mesohabitat,photo_id,time,distance,transect,transect_start_lat,transect_start_lon,transect_end_lat,transect_end_lon,notes
30,5/1/2019,flower,1,10:27,12:27,,,Passeriformes,Passerellidae,Black.throated Sparrow,,Singing,Vocalization,no visual,no photo,11:57,2,1,34.78299,-115.66235,34.77833,.115.66293,no notes
31,5/1/2019,flower,1,10:27,12:27,,,Passeriformes,Passerellidae,Black.throated Sparrow,,Calling,Vocalization,no visual,no photo,11:59,2,1,34.78299,-115.66235,34.77833,.115.66293,no notes
32,5/1/2019,flower,1,10:27,12:27,34.77952,-115.66265,Unknown,Unknown,Unknown,Unknown,Flying Between Plants,Active movement,cactus understory,67.71,12:05,2,1,34.78299,-115.66235,34.77833,.115.66293,no notes
33,5/1/2019,flower,1,10:27,12:27,34.77952,-115.66265,Unknown,Unknown,Unknown,Unknown,Flying Between Plants,Active movement,cactus understory,67.71,12:05,2,1,34.78299,-115.66235,34.77833,.115.66293,no notes
34,5/1/2019,flower,1,10:27,12:27,,,Passeriformes,Fringillidae,House Finch,,Singing,Vocalization,no visual,no photo,12:10,3,1,34.78299,-115.66235,34.77833,.115.66293,no notes
35,5/1/2019,flower,1,10:27,12:27,34.7785,-115.66306,Passeriformes,Cardinalidae,Black.headed Grosbeak,,Sitting on Plant,Inactive,shrub,72.84,12:14,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
36,5/1/2019,flower,1,10:27,12:27,34.77835,-115.66309,Passeriformes,Cardinalidae,Black.headed Grosbeak,,Sitting on Plant,Inactive,shrub,72.84,12:14,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
37,5/1/2019,flower,1,10:27,12:27,34.77834,-115.66309,Passeriformes,Cardinalidae,Black.headed Grosbeak,,Sitting on Plant,Inactive,shrub,72.84,12:14,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
38,5/1/2019,flower,1,10:27,12:27,34.77821,-115.66322,Passeriformes,Passerellidae,Black.throated Sparrow,,Flying Between Plants,Active movement,shrub,no photo,12:18,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
39,5/1/2019,flower,1,10:27,12:27,34.77887,-115.66273,Passeriformes,Tyrannidae,Ash.throated Flycatcher,insectivore,Sitting on Plant,Inactive,shrub,85.97,12:25,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
40,5/1/2019,flower,2,14:31,16:31,,,Passeriformes,Polioptilidae,Blue.gray Gnatcatcher,,Singing,Vocalization,no visual,no photo,14:34,3,2,34.78303,-115.66309,34.77863,-115.66402,no notes
41,5/1/2019,flower,2,14:31,16:31,34.78279,-115.66315,Passeriformes,Polioptilidae,Blue.gray Gnatcatcher,,Flying on Plant,Active movement,shrub,no photo,14:34,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
42,5/1/2019,flower,2,14:31,16:31,,,Passeriformes,Passerellidae,Black.throated Sparrow,,Calling,Vocalization,no visual,no photo,14:36,3,2,34.78303,-115.66309,34.77863,-115.66402,no notes
43,5/1/2019,flower,2,14:31,16:31,,,Passeriformes,Ptiliogonatidae,Phainopepla,,Calling,Vocalization,no visual,no photo,14:37,2,2,34.78303,-115.66309,34.77863,-115.66402,no notes
44,5/1/2019,flower,2,14:31,16:31,,,Passeriformes,Troglodytidae,Canyon Wren,,Singing,Vocalization,no visual,no photo,14:43,3,2,34.78303,-115.66309,34.77863,-115.66402,no notes
45,5/1/2019,flower,2,14:31,16:31,34.78221,-115.66355,Passeriformes,Passerellidae,Black.throated Sparrow,,Flying on Plant,Active movement,shrub,no photo,14:45,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
46,5/1/2019,flower,2,14:31,16:31,34.7822,-115.66359,Passeriformes,Passerellidae,Black.throated Sparrow,,Flying on Plant,Active movement,shrub,no photo,14:45,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
47,5/1/2019,flower,2,14:31,16:31,,,Passeriformes,Polioptilidae,Blue.gray Gnatcatcher,,Singing,Vocalization,no visual,no photo,14:49,2,2,34.78303,-115.66309,34.77863,-115.66402,no notes
48,5/1/2019,flower,2,14:31,16:31,,,Passeriformes,Polioptilidae,Blue.gray Gnatcatcher,,Singing,Vocalization,no visual,no photo,14:49,2,2,34.78303,-115.66309,34.77863,-115.66402,no notes
49,5/1/2019,flower,2,14:31,16:31,,,Passeriformes,Passerellidae,Black.throated Sparrow,,Singing,Vocalization,no visual,no photo,14:55,2,2,34.78303,-115.66309,34.77863,-115.66402,no notes
50,5/1/2019,flower,2,14:31,16:31,34.78115,-115.6631,Passeriformes,Passerellidae,Black.throated Sparrow,,Flying Between Plants,Active movement,cactus canopy,no photo,14:57,2,2,34.78303,-115.66309,34.77863,-115.66402,no notes
51,5/1/2019,flower,2,14:31,16:31,34.7809,-115.66307,Passeriformes,Passerellidae,Black.throated Sparrow,,Calling,Vocalization,shrub,7-Jan,14:59,2,2,34.78303,-115.66309,34.77863,-115.66402,no notes
52,5/1/2019,flower,2,14:31,16:31,34.7809,-115.66308,Passeriformes,Passerellidae,Black.throated Sparrow,,Flying Between Plants,Active movement,cactus canopy,no photo,14:59,2,2,34.78303,-115.66309,34.77863,-115.66402,no notes
53,5/1/2019,flower,2,14:31,16:31,,,Passeriformes,Troglodytidae,Canyon Wren,,Singing,Vocalization,no visual,no photo,15:04,3,2,34.78303,-115.66309,34.77863,-115.66402,no notes
54,5/1/2019,flower,2,14:31,16:31,34.77994,-115.66382,Passeriformes,Icteridae,Wilson's Warbler,,Foraging,Foraging,shrub,24-Aug,15:16,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
55,5/1/2019,flower,2,14:31,16:31,34.77972,-115.66365,Passeriformes,Passerellidae,Black.throated Sparrow,,Sitting on Plant,Inactive,shrub,no photo,15:17,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
56,5/1/2019,flower,2,14:31,16:31,34.7791,-115.6651,Passeriformes,Tyrannidae,Ash.throated Flycatcher,insectivore,Singing,Vocalization,cactus canopy,25.43,15:28,3,2,34.78303,-115.66309,34.77863,-115.66402,no notes
57,5/1/2019,flower,2,14:31,16:31,34.7791,-115.6651,Passeriformes,Tyrannidae,Ash.throated Flycatcher,insectivore,Singing,Vocalization,shrub,no photo,15:29,3,2,34.78303,-115.66309,34.77863,-115.66402,no notes
58,5/1/2019,flower,2,14:31,16:31,,,Passeriformes,Passerellidae,Black.throated Sparrow,,Calling,Vocalization,no visual,no photo,15:36,3,2,34.78303,-115.66309,34.77863,-115.66402,no notes
59,5/1/2019,flower,2,14:31,16:31,34.77969,-115.66403,Passeriformes,Passerellidae,Black.throated Sparrow,,Flying,Active movement,shrub,no photo,15:39,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
60,5/1/2019,flower,2,14:31,16:31,34.77963,-115.66394,Passeriformes,Parulidae,Wilson's Warbler,,Foraging,Foraging,shrub,no photo,15:42,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
61,5/1/2019,flower,2,14:31,16:31,,,Passeriformes,Corvidae,Common Raven,,Calling,Vocalization,no visual,no photo,15:47,3,2,34.78303,-115.66309,34.77863,-115.66402,no notes
62,5/1/2019,flower,2,14:31,16:31,34.78115,-115.66349,Passeriformes,Passerellidae,Black.throated Sparrow,,Sitting on Plant,Inactive,shrub,no photo,15:55,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
63,5/1/2019,flower,2,14:31,16:31,,,Passeriformes,Passerellidae,Black.throated Sparrow,,Singing,Vocalization,no visual,no photo,15:55,2,2,34.78303,-115.66309,34.77863,-115.66402,no notes
64,5/1/2019,flower,2,14:31,16:31,34.7813,-115.66336,Passeriformes,Passerellidae,Black.throated Sparrow,,Flying,Active movement,shrub,no photo,15:57,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
65,5/1/2019,flower,2,14:31,16:31,,,Passeriformes,Mimidae,Northern Mockingbird,,Singing,Vocalization,no visual,no photo,16:00,2,2,34.78303,-115.66309,34.77863,-115.66402,no notes
66,5/1/2019,flower,2,14:31,16:31,,,Passeriformes,Passerellidae,Black.throated Sparrow,,Calling,Vocalization,no visual,no photo,16:03,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
67,5/1/2019,flower,2,14:31,16:31,34.78174,-115.6636,Passeriformes,Passerellidae,Black.throated Sparrow,,Flying,Active movement,shrub,no photo,16:03,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
68,5/1/2019,flower,2,14:31,16:31,,,Passeriformes,Passerellidae,Black.throated Sparrow,,Calling,Vocalization,no visual,no photo,16:04,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
69,5/1/2019,flower,2,14:31,16:31,34.78182,-115.66302,Passeriformes,Tyrannidae,Ash.throated Flycatcher,insectivore,Flying,Active movement,rock,44.64,16:07,2,2,34.78303,-115.66309,34.77863,-115.66402,no notes
70,5/1/2019,flower,2,14:31,16:31,,,Passeriformes,Ptiliogonatidae,Phainopepla,,Singing,Vocalization,air,no photo,16:11,2,2,34.78303,-115.66309,34.77863,-115.66402,no notes
71,5/1/2019,flower,2,14:31,16:31,34.78219,-115.66343,Passeriformes,Polioptilidae,Black.tailed Gnatcatcher,,Calling,Vocalization,shrub,70.73,16:16,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
72,5/1/2019,flower,2,14:31,16:31,34.78219,-115.66343,Passeriformes,Polioptilidae,Blue.gray Gnatcatcher,,Singing,Vocalization,shrub,no photo,16:16,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
73,5/1/2019,flower,2,14:31,16:31,34.78219,-115.66343,Passeriformes,Polioptilidae,Blue.gray Gnatcatcher,,Singing,Vocalization,shrub,no photo,16:16,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
74,5/1/2019,flower,2,14:31,16:31,34.78221,-115.66338,Passeriformes,Polioptilidae,Black.tailed Gnatcatcher,,Singing,Vocalization,shrub,no photo,16:20,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
75,5/1/2019,flower,2,14:31,16:31,34.78255,-115.66326,Passeriformes,Passerellidae,Black.throated Sparrow,,Sitting on Plant,Inactive,shrub,no photo,16:23,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
76,5/1/2019,flower,2,14:31,16:31,34.78256,-115.66327,Passeriformes,Passerellidae,Black.throated Sparrow,,Standing on Ground,Inactive,gravel,no photo,16:22,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
77,5/1/2019,flower,2,14:31,16:31,34.78258,-115.66326,Passeriformes,Passerellidae,Black.throated Sparrow,,Standing on Ground,Inactive,gravel,no photo,16:22,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
78,5/1/2019,flower,3,16:35,18:35,34.78313,-115.66232,Passeriformes,Passerellidae,Black.throated Sparrow,,Calling,Vocalization,gravel,no photo,16:35,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
79,5/1/2019,flower,3,16:35,18:35,34.78313,-115.66223,Passeriformes,Passerellidae,Black.throated Sparrow,,Calling,Vocalization,gravel,no photo,16:35,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
80,5/1/2019,flower,3,16:35,18:35,34.78313,-115.66227,Passeriformes,Troglodytidae,Rock Wren,,Standing on Ground,Inactive,rock,121.123,16:44,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
81,5/1/2019,flower,3,16:35,18:35,34.77223,-115.66269,Apodiformes,Trochilidae,Costa's Hummingbird,nectarivore,Sitting on Plant,Inactive,shrub,124.131,16:52,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
82,5/1/2019,flower,3,16:35,18:35,,,Passeriformes,Ptiliogonatidae,Phainopepla,,Singing,Vocalization,no visual,no photo,16:53,2,1,34.78299,-115.66235,34.77833,.115.66293,no notes
83,5/1/2019,flower,3,16:35,18:35,34.78244,-115.66243,Passeriformes,Ptiliogonatidae,Phainopepla,,Sitting on Plant,Inactive,shrub,132.137,16:55,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
84,5/1/2019,flower,3,16:35,18:35,,,Passeriformes,Troglodytidae,Canyon Wren,,Singing,Vocalization,no visual,no photo,16:56,3,1,34.78299,-115.66235,34.77833,.115.66293,no notes
85,5/1/2019,flower,3,16:35,18:35,34.78229,-115.66205,Passeriformes,Fringillidae,House Finch,,Standing on Ground,Inactive,rock,140.143,16:59,2,1,34.78299,-115.66235,34.77833,.115.66293,no notes
86,5/1/2019,flower,3,16:35,18:35,34.78203,-115.66192,Passeriformes,Ptiliogonatidae,Phainopepla,,Sitting on Plant,Inactive,shrub,138.139,16:57,3,1,34.78299,-115.66235,34.77833,.115.66293,no notes
87,5/1/2019,flower,3,16:35,18:35,34.78229,-115.66205,Passeriformes,Troglodytidae,Rock Wren,,Standing on Ground,Inactive,rock,no photo,17:01,2,1,34.78299,-115.66235,34.77833,.115.66293,no notes
88,5/1/2019,flower,3,16:35,18:35,,,Passeriformes,Troglodytidae,Canyon Wren,,Singing,Vocalization,no visual,no photo,17:04,3,1,34.78299,-115.66235,34.77833,.115.66293,no notes
89,5/1/2019,flower,3,16:35,18:35,34.78188,-115.6618,Passeriformes,Ptiliogonatidae,Phainopepla,,Standing on Ground,Inactive,rock,144.145,17:09,2,1,34.78299,-115.66235,34.77833,.115.66293,no notes
90,5/1/2019,flower,3,16:35,18:35,34.78188,-115.6618,Passeriformes,Ptiliogonatidae,Phainopepla,,Standing on Ground,Inactive,rock,no photo,17:09,2,1,34.78299,-115.66235,34.77833,.115.66293,no notes
91,5/1/2019,flower,3,16:35,18:35,34.78119,-115.66261,Passeriformes,Mimidae,Northern Mockingbird,,Singing,Vocalization,cactus canopy,no photo,17:11,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
92,5/1/2019,flower,3,16:35,18:35,34.78119,-115.66261,Passeriformes,Mimidae,Northern Mockingbird,,Flying,Active movement,cactus canopy,no photo,17:11,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
93,5/1/2019,flower,3,16:35,18:35,,,Passeriformes,Hirundinidae,Violet.green Swallow,,Flying,Active movement,air,no photo,17:24,3,1,34.78299,-115.66235,34.77833,.115.66293,no notes
94,5/1/2019,flower,3,16:35,18:35,,,Passeriformes,Hirundinidae,Violet.green Swallow,,Flying,Active movement,air,no photo,17:24,3,1,34.78299,-115.66235,34.77833,.115.66293,no notes
95,5/1/2019,flower,3,16:35,18:35,,,Apodiformes,Trochilidae,Hummingbird,nectarivore,Flying,Active movement,air,no photo,17:36,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
96,5/1/2019,flower,3,16:35,18:35,,,Passeriformes,Passerellidae,Black.throated Sparrow,,Singing,Vocalization,no visual,no photo,17:39,3,1,34.78299,-115.66235,34.77833,.115.66293,no notes
97,5/1/2019,flower,3,16:35,18:35,,,Passeriformes,Passerellidae,Black.throated Sparrow,,Singing,Vocalization,no visual,no photo,17:39,3,1,34.78299,-115.66235,34.77833,.115.66293,no notes
98,5/1/2019,flower,3,16:35,18:35,,,Passeriformes,Tyrannidae,Say's Phoebe,,Flying,Active movement,air,152.155,17:43,3,1,34.78299,-115.66235,34.77833,.115.66293,no notes
99,5/1/2019,flower,3,16:35,18:35,,,Passeriformes,Mimidae,Northern Mockingbird,,Sitting on Plant,Inactive,cactus canopy,no photo,17:50,3,1,34.78299,-115.66235,34.77833,.115.66293,no notes
100,5/1/2019,flower,3,16:35,18:35,,,Passeriformes,Troglodytidae,Canyon Wren,,Singing,Vocalization,no visual,no photo,17:56,3,1,34.78299,-115.66235,34.77833,.115.66293,no notes
101,5/1/2019,flower,3,16:35,18:35,34.77935,-115.66249,Passeriformes,Mimidae,Northern Mockingbird,,Flying Between Plants,Active movement,shrub,no photo,18:00,3,1,34.78299,-115.66235,34.77833,.115.66293,no notes
102,5/1/2019,flower,3,16:35,18:35,34.78146,-115.66301,Passeriformes,Troglodytidae,Rock Wren,,Standing on Ground,Inactive,rock,157.171,18:14,2,1,34.78299,-115.66235,34.77833,.115.66293,no notes
103,5/1/2019,flower,3,16:35,18:35,,,Columbiformes,Columbidae,Mourning Dove,,Singing,Vocalization,no visual,no photo,18:15,3,1,34.78299,-115.66235,34.77833,.115.66293,no notes
104,5/1/2019,flower,3,16:35,18:35,,,Passeriformes,Ptiliogonatidae,Phainopepla,,Flying,Active movement,rock,no photo,18:17,3,1,34.78299,-115.66235,34.77833,.115.66293,no notes
105,5/1/2019,flower,3,16:35,18:35,34.78271,-115.66242,Passeriformes,Ptiliogonatidae,Phainopepla,,Sitting on Plant,Inactive,shrub,no photo,18:22,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
106,5/1/2019,flower,3,16:35,18:35,,,Passeriformes,Passerellidae,Black.throated Sparrow,,Calling,Vocalization,no visual,no photo,18:23,2,1,34.78299,-115.66235,34.77833,.115.66293,no notes
107,5/1/2019,flower,3,16:35,18:35,34.78299,-115.66221,Passeriformes,Fringillidae,House Finch,,Singing,Vocalization,cactus canopy,no photo,18:24,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
108,5/1/2019,flower,3,16:35,18:35,34.78299,-115.66221,Passeriformes,Fringillidae,House Finch,,Sparring,Terriotial or mating behavior,cactus canopy,no photo,18:24,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
109,5/2/2019,flower,4,6:25,8:25,34.78297,-115.66302,Passeriformes,Polioptilidae,Black.tailed Gnatcatcher,,Calling,Vocalization,shrub,no photo,6:25,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
110,5/2/2019,flower,4,6:25,8:25,34.294,-115.66297,Apodiformes,Trochilidae,Costa's Hummingbird,nectarivore,Flying,Active movement,shrub,175.19,6:25,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
111,5/2/2019,flower,4,6:25,8:25,34.78289,-115.66292,Passeriformes,Polioptilidae,Blue.gray Gnatcatcher,,Sparring,Terriotial or mating behavior,shrub,191,6:27,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
112,5/2/2019,flower,4,6:25,8:25,34.78289,-115.66292,Passeriformes,Polioptilidae,Black.tailed Gnatcatcher,,Sparring,Terriotial or mating behavior,shrub,no photo,6:27,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
113,5/2/2019,flower,4,6:25,8:25,34.78296,-115.6629,Passeriformes,Polioptilidae,Black.tailed Gnatcatcher,,Sitting on Plant,Inactive,shrub,no photo,6:27,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
114,5/2/2019,flower,4,6:25,8:25,,,Columbiformes,Columbidae,Mourning Dove,,Singing,Vocalization,no visual,no photo,6:29,3,2,34.78303,-115.66309,34.77863,-115.66402,no notes
115,5/2/2019,flower,4,6:25,8:25,34.78319,-115.66304,Columbiformes,Columbidae,Mourning Dove,,Standing on Ground,Inactive,rock,192.195,6:33,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
116,5/2/2019,flower,4,6:25,8:25,,,Passeriformes,Polioptilidae,Blue.gray Gnatcatcher,,Singing,Vocalization,no visual,no photo,6:33,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
117,5/2/2019,flower,4,6:25,8:25,,,Passeriformes,Mimidae,Northern Mockingbird,,Singing,Vocalization,cactus canopy,195.198,6:35,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
118,5/2/2019,flower,4,6:25,8:25,,,Passeriformes,Troglodytidae,Rock Wren,,Singing,Vocalization,rock,no photo,6:39,2,2,34.78303,-115.66309,34.77863,-115.66402,no notes
119,5/2/2019,flower,4,6:25,8:25,34.78277,-115.6632,Columbiformes,Columbidae,Mourning Dove,,Standing on Ground,Inactive,rock,no photo,6:44,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
120,5/2/2019,flower,4,6:25,8:25,,,Passeriformes,Passerellidae,Black.throated Sparrow,,Singing,Vocalization,no visual,no photo,6:44,2,2,34.78303,-115.66309,34.77863,-115.66402,no notes
121,5/2/2019,flower,4,6:25,8:25,,,Passeriformes,Tyrannidae,Ash.throated Flycatcher,insectivore,Singing,Vocalization,no visual,no photo,6:47,3,2,34.78303,-115.66309,34.77863,-115.66402,no notes
122,5/2/2019,flower,4,6:25,8:25,34.78263,-115.66328,Passeriformes,Fringillidae,House finch,,Sitting on Plant,Inactive,shrub,199.202,6:29,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
123,5/2/2019,flower,4,6:25,8:25,,,Passeriformes,Polioptilidae,Blue.gray Gnatcatcher,,Singing,Vocalization,no visual,no photo,6:50,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
124,5/2/2019,flower,4,6:25,8:25,34.78264,-115.66289,Passeriformes,Ptiliogonatidae,Phainopepla,,Foraging,Foraging,cactus canopy,no photo,6:53,2,2,34.78303,-115.66309,34.77863,-115.66402,no notes
125,5/2/2019,flower,4,6:25,8:25,34.78262,-115.66289,Passeriformes,Ptiliogonatidae,Phainopepla,,Flying,Active movement,shrub,no photo,6:53,2,2,34.78303,-115.66309,34.77863,-115.66402,no notes
126,5/2/2019,flower,4,6:25,8:25,34.78279,-115.66282,Passeriformes,Passerellidae,Green.tailed Towhee,,Sitting on Plant,Inactive,shrub,203.214,6:55,2,2,34.78303,-115.66309,34.77863,-115.66402,no notes
