id,date,latitude,longitude,treatment,x,y,z,volume,quad_south,quad_west,experiment,notes
30,5/20/2019,34.78268,-115.66341,Shrub,299.72,279.4,190.5,15952806.8,4,10,mimic,
31,5/21/2019,34.78294,-115.66315,Pole,1,1,162.56,162.56,0,8,mimic,
32,5/21/2019,34.78286,-115.66325,Open,,,,,9,1,mimic,
33,5/21/2019,34.78215,-115.66313,Zero,106.68,96.52,78.74,810766.3785,4,10,mimic,
34,5/21/2019,34.78252,-115.66342,Fifteen,266.7,266.7,134.62,9575371.172,8,6,mimic,
35,5/21/2019,34.78216,-115.6636,Thirty,66.04,63.5,71.12,298244.5648,8,10,mimic,
36,5/21/2019,34.7827,-115.66321,Shrub,231.14,182.88,147.32,6227346.513,8,4,mimic,
37,5/23/2019,34.78263,-115.66346,Pole,1,1,165.1,165.1,5,9,mimic,
38,5/23/2019,34.78268,-115.6627,Open,,,,,5,2,mimic,
39,5/23/2019,34.78246,-115.66255,Zero,165.1,139.7,114.3,2636268.921,5,0,mimic,
40,5/23/2019,34.78234,-115.66251,Fifteen,106.68,88.9,96.52,915381.395,7,1,mimic,
41,5/23/2019,34.78265,-115.66258,Thirty,71.12,60.96,134.62,583641.6714,3,1,mimic,
42,5/23/2019,34.78221,-115.66352,Shrub,246.38,231.14,228.6,13018375.25,9,8,mimic,
43,5/24/2019,34.78311,-115.66329,Pole,1,1,167.64,167.64,0,10,mimic,
44,5/24/2019,34.78243,-115.66261,Open,,,,,4,1,mimic,
45,5/24/2019,34.78222,-115.6312,Zero,200.66,160.02,142.24,4567271.382,9,5,mimic,
46,5/24/2019,34.78222,-115.66376,Fifteen,139.7,101.6,139.7,1982834.744,9,10,mimic,
47,5/24/2019,34.78312,-115.66247,Thirty,91.44,58.42,116.84,624150.4936,0,2,mimic,
48,5/24/2019,34.7827,-115.66325,Shrub,127,127,83.82,1351932.78,3,7,mimic,
49,5/25/2019,34.78248,-115.66273,Pole,1,1,165.1,165.1,4,2,mimic,
50,5/25/2019,34.78303,-115.66284,Open,,,,,0,5,mimic,
51,5/25/2019,34.78301,-115.66284,Zero,312.42,251.46,172.72,13569078.93,0,5,mimic,
52,5/25/2019,34.78277,-115.66321,Fifteen,154.94,165.1,111.76,2858887.185,2,8,mimic,
53,5/25/2019,34.78291,-115.66289,Thirty,142.24,127,139.7,2523607.856,1,5,mimic,
54,5/25/2019,34.78256,-115.66328,Shrub,281.94,208.28,165.1,9695078.674,5,7,mimic,
55,5/26/2019,34.78307,-115.66255,Pole,1,1,170.18,170.18,0,2,mimic,
56,5/26/2019,34.78286,-115.66293,Open,,,,,2,6,mimic,
57,5/26/2019,34.78209,-115.66324,Zero,93.98,88.9,101.6,848849.9152,9,5,mimic,
58,5/26/2019,34.78262,-115.66285,Fifteen,124.46,93.98,137.16,1604326.34,4,4,mimic,
59,5/26/2019,34.78271,-115.66339,Thirty,132.08,78.74,177.8,1849116.302,3,9,mimic,
60,5/26/2019,34.78211,-115.66259,Shrub,203.2,152.4,106.68,3303632.102,9,0,mimic,
61,5/27/2019,34.78263,-115.66277,Pole,1,1,167.64,167.64,4,4,mimic,replacement for day 1 pole which had faulty design
63,5/28/2019,34.78254,-115.66306,Zero,203.2,162.56,144.78,4782400.758,6,6,flower,
64,5/28/2019,34.78295,-115.66336,Fifteen,261.62,233.68,182.88,11180434.93,0,10,flower,
65,5/28/2019,34.78297,-115.66254,Thirty,149.86,147.32,152.4,3364591.98,1,1,flower,
66,5/28/2019,34.78226,-115.66345,Open,,,,,9,7,flower,
67,5/28/2019,34.78283,-115.66337,Shrub,165.1,129.54,81.28,1738339.749,3,10,flower,
68,5/29/2019,34.78228,-115.66301,Zero,182.88,172.72,154.94,4894094.986,8,5,flower,
69,5/29/2019,34.78222,-115.66309,Fifteen,190.5,147.32,132.08,3706753.877,9,5,flower,
70,5/29/2019,34.78261,-115.66345,Thirty,137.16,111.76,111.76,1713169.219,4,10,flower,
71,5/29/2019,34.78236,-115.66348,Open,,,,,8,8,flower,
72,5/29/2019,34.78212,-115.66343,Shrub,195.58,137.16,114.3,3066183.545,10,7,flower,
73,5/30/2019,34.78312,-115.66278,Pole,1,1,165.1,165.1,0,5,flower,
74,6/1/2019,34.78259,-115.66299,Thirty,208.28,139.7,119.38,3473565.956,6,9,flower,
75,6/1/2019,34.78302,-115.66267,Pole,1,1,170.18,170.18,2,4,flower,
76,6/2/2019,34.78302,-115.66271,Pole,1,1,172.72,172.72,1,4,flower,
77,6/3/2019,34.78241,-115.66275,Pole,1,1,167.64,167.64,6,2,flower,
78,6/4/2019,34.78343,-115.66315,Pole,1,1,165.1,165.1,5,7,flower,
79,6/5/2019,34.78239,-115.66248,Pole,1,1,165.1,165.1,5,5,flower,
80,6/6/2019,34.78254,-115.66263,Pole,1,1,175.26,175.26,5,1,flower,
