cactus.id,tag,,lat,lon,x,y,z,volume,newgrowth,health,branches,transect,meter,distance,blooms,buds,fruits,nest,notes
61,337,,34.78128,-115.66262,31,29,36,32364,15,5,130,4,5,2,y,10,,n,
62,336,,34.78136,-115.66257,63,55,51,176715,55,5,400,4,10,5,y,75,,n,
63,335,,34.78129,-115.66248,30,25,37,27750,15,5,110,4,15,1,y,10,,n,
64,334,,34.78127,-115.66245,63,54,51,173502,40,5,800,4,20,0,y,370,,y,
65,333,,34.78122,-115.66238,63,63,56,222264,24,5,1100,4,25,0,y,500,,n,
67,332,,34.78128,-115.66232,83,58,45,216630,50,2,600,4,35,5,y,10,,n,
66,331,,34.78124,-115.66232,18,14,28,7056,15,5,60,4,30,2,n,0,,n,
68,330,,34.78129,-115.66224,9,5,23,1035,2,5,20,4,40,4,n,0,,n,
69,329,,34.78121,-115.66219,22,9,30,5940,4,5,30,4,45,0,n,0,,n,
70,328,,34.78124,-115.66216,98,78,58,443352,0,1,650,4,50,3,y,0,,y,perhaps dead or dying plant
71,327,,34.7812,-115.66211,25,6,30,4500,5,5,30,4,55,0,n,0,,n,
72,326,,34.7812,-115.66205,89,50,58,258100,20,3,540,4,60,3,y,110,,n,
73,325,,34.78122,-115.66202,79,72,63,358344,45,5,900,4,65,3,y,200,,y,
75,324,,34.78111,-115.6619,56,43,49,117992,35,5,350,4,75,5,y,240,,y,
74,323,,34.78117,-115.66196,43,34,34,49708,30,5,200,4,70,2,y,10,,n,
76,322,,34.78121,-115.6618,32,32,45,46080,5,5,260,4,80,5,y,80,,n,
77,321,,34.78122,-115.66178,47,45,43,90945,40,5,330,4,85,5,y,40,,n,
78,320,,34.78109,-115.6617,15,10,23,3450,8,5,15,4,90,4,n,0,,n,
79,319,,34.78111,-115.66167,72,57,41,168264,40,3,500,4,95,1,y,140,,n,
80,318,,34.78111,-115.66163,65,55,51,182325,20,5,520,4,100,0,y,80,,n,
81,317,,34.78116,-115.66267,37,33,45,54945,5,5,140,5,5,0,y,40,,n,
82,316,,34.78114,-115.66258,61,56,44,150304,35,5,150,5,10,1,y,25,,n,
83,315,,34.78113,-115.66251,17,11,25,4675,15,5,30,5,15,1,n,0,,n,
84,314,,34.78112,-115.66245,34,34,34,39304,20,5,100,5,20,0,y,20,,n,
85,313,,34.78103,-115.66241,47,47,47,103823,25,4,450,5,25,5,y,115,,n,
86,312,,34.78102,-115.66236,25,15,21,7875,10,4,25,5,30,3,n,0,,n,
87,311,,34.78107,-115.66231,78,60,57,266760,20,5,1000,5,35,0,y,170,,n,
88,310,,34.78111,-115.66221,115,107,66,812130,45,2,1100,5,40,5,y,230,,y,
89,309,,34.78104,-115.66231,63,49,48,148176,25,5,250,5,45,2,y,55,,n,
90,308,,34.781,-115.6621,66,58,57,218196,30,5,600,5,50,3,y,145,,y,
91,307,,34.78099,-115.66202,99,78,61,471042,40,5,900,5,55,0,y,600,,n,
92,306,,34.78094,-115.66196,41,30,33,40590,15,4,190,5,60,5,y,30,,n,
93,305,,34.78095,-115.66192,49,38,52,96824,15,5,450,5,65,0,y,200,,n,
94,304,,34.78094,-115.66189,32,30,36,34560,30,5,150,5,70,0,y,40,,n,
95,303,,34.78095,-115.66186,106,100,58,614800,25,3,1500,5,75,1,y,600,,n,
96,302,,34.78098,-115.66183,31,22,28,19096,20,5,60,5,80,4,y,1,,n,
97,301,,34.78097,-115.66181,79,47,64,237632,65,5,1200,5,85,2,n,250,,n,
98,300,,34.78097,-115.66172,45,25,40,45000,18,5,90,5,90,4,y,2,,n,
99,299,,34.78098,-115.66171,32,16,42,21504,5,4,90,5,95,4,y,5,,n,
100,298,,34.78094,-115.66168,61,55,47,157685,35,5,900,5,100,0,y,400,,n,
